,DS1,DS3,DS4,DS6,DS7,DS9
0,0.25,0.25,0.25,0.13209018652273496,0.25,0.25
1,0.16309612359044773,0.0927053590353962,0.17168950549162867,0.25,0.25,0.25
2,0.15622070554383047,0.2140706731464819,0.24502400028778348,0.25,0.25,0.25
3,0.09561128552885037,0.25,0.25,0.25,0.25,0.25
4,0.21535002630917208,0.060567336926695886,0.25,0.25,0.19722043082508475,0.25
5,0.2062121899770283,0.02925329886352308,0.25,0.25,0.2041958763418989,0.044564608736670744
6,0.25,0.25,0.25,0.25,0.25,0.25
7,0.25,0.23800390209509867,0.17558531271886657,0.1505040547422117,0.25,0.25
8,0.21362811127790873,0.25,0.25,0.25,0.25,0.25
9,0.08769358144087204,0.21858068820327806,0.25,0.25,0.25,0.25
10,0.14362727751068052,0.16770314329824365,0.11030437330198463,0.25,0.20981238115485343,0.25
11,0.11800755687620193,0.09617577857092187,0.25,0.25,0.16510080367269864,0.25
12,0.10644009178157214,0.22217934800953043,0.25,0.13970328864249767,0.25,0.25
13,0.25,0.2302731163645185,0.25,0.12600476673903147,0.25,0.25
14,0.1976824979803012,0.10445401488351937,0.25,0.25,0.25,0.25
15,0.08255287133058577,0.25,0.21430413858858274,0.25,0.25,0.18572088625845745
16,0.230901108464438,0.16038244824151812,0.23793017473114128,0.25,0.25,0.25
17,0.25,0.16486059364196182,0.25,0.20501786112203166,0.25,0.2420504989199565
18,0.18990033162938283,0.02045855312427339,0.1675541993030292,0.1992738285246673,0.25,0.22518315475285453
19,0.21635832440336875,0.11965438978870478,0.24213368338939056,0.25,0.2275088178919122,0.04608674071419143
20,0.04764832102414311,0.25,0.10128709401662411,0.25,0.16520979885292317,0.14703729027546816
21,0.23779360420026618,0.25,0.25,0.25,0.25,0.12186673092121807
22,0.25,0.09908691912362454,0.25,0.14270606891076776,0.25,0.25
23,0.19327050002620672,0.25,0.25,0.25,0.25,0.25
24,0.25,0.10081325601578914,0.1646768301561051,0.25,0.25,0.14721989121263704
25,0.04704329728826722,0.1980451973885783,0.25,0.25,0.25,0.25
26,0.25,0.1805357910337869,0.1607792577617662,0.25,0.25,0.25
27,0.03395768001802294,0.25,0.25,0.25,0.25,0.23994149232035045
28,0.25,0.25,0.25,0.22028966547834633,0.18900626936000908,0.25
29,0.049501584230078825,0.25,0.14248970534296485,0.25,0.25,0.25
30,0.05314484452420313,0.25,0.25,0.25,0.08175721156469332,0.25
31,0.05664629923378151,0.25,0.13807478051208105,0.11845683476294505,0.25,0.25
32,0.25,0.25,0.25,0.11612926239091226,0.25,0.1302812487325391
33,0.07274109935928891,0.25,0.044883297763333566,0.25,0.25,0.25
34,0.22223122573677187,0.25,0.25,0.25,0.25,0.25
35,0.14129402794957646,0.25,0.25,0.021861128415625007,0.25,0.25
36,0.08347584191487527,0.2386638907518766,0.25,0.25,0.21739698131117827,0.25
37,0.053174791509249364,0.25,0.09292234098581367,0.25,0.25,0.25
38,0.25,0.13883222245346644,0.25,0.13980288988955977,0.21052420775401479,0.25
39,0.21208435446458823,0.17396578645896962,0.25,0.25,0.25,0.17553345250561445
40,0.15789914715549985,0.16696863252496838,0.25,0.25,0.25,0.25
41,0.022447312438611387,0.25,0.25,0.25,0.0423945749307646,0.25
42,0.25,0.25,0.25,0.23540380932582336,0.25,0.14194963028658159
43,0.037270426297691346,0.25,0.25,0.25,0.25,0.25
44,0.07228916804335377,0.05488016915194416,0.25,0.25,0.25,0.25
45,0.0671661500306406,0.17408119460556626,0.25,0.25,0.25,0.25
46,0.165940583657239,0.25,0.25,0.25,0.07564782145679565,0.25
47,0.09618954074119289,0.25,0.25,0.25,0.11627364264070261,0.25
48,0.25,0.25,0.15346326724416115,0.25,0.25,0.25
49,0.25,0.25,0.25,0.25,0.21469277292672412,0.189515237726232
