,DS8
0,0.002244976648163079
1,0.0008557306233137035
2,0.002710471957398757
3,0.0003513477366637605
4,-0.003101271043423975
5,0.0031493584248031403
6,-0.003518788889706263
7,0.003244884597611661
8,0.0010244202610796636
9,0.00030370085270402323
10,0.0002568519961017091
11,0.0008570477668939874
12,0.0007899010436274479
13,0.002078560398088215
14,-0.0004352046276117073
15,0.007859749785422889
16,0.001220475029188683
17,0.0003176824500866226
18,0.0026205528508436177
19,-0.009914097786981052
20,0.0009791858108219214
21,0.0017378956312225796
22,0.002131909215593712
23,-0.00037143052528864625
24,0.0011544458658184578
25,-0.0018389487831227658
26,0.0032190804292237733
27,-0.000746765262405187
28,0.0020906878823159117
29,0.0013498821176322585
30,0.0016994639152432048
31,0.0020118539012488
32,-0.005338002106114382
33,0.001738171804235442
34,0.0017797043135818105
35,0.0021705382078141986
36,0.0014803071802940442
37,0.0013975385805570823
38,0.0017049904973047334
39,0.0012270922826335647
40,0.007318653278992723
41,-0.001134373458207963
42,-0.00016336906535264264
43,0.0028966529763774303
44,0.002004331043321834
45,0.0007058785624949967
46,-0.0028119040379680793
47,0.0013171911271945844
48,0.003887226913682515
49,-0.0008719602390005631
50,0.0016454458399996188
51,0.005488126598213828
52,0.0026256629999188963
53,0.005809418681242652
54,-0.00011428107246530326
55,0.0007490431064011789
56,0.0011462342254638166
57,0.0006815418950595778
58,-0.0005441862677689745
59,0.0006780332664410905
60,0.0013750310046401044
61,-0.0013448987509147164
62,0.0001612471272948247
63,-0.0017880450093875502
64,0.0010288449013545278
65,0.001279427867312984
66,-0.0002889811990443244
67,0.000731456789601202
68,0.0016918528923445728
69,0.0021826236240277894
70,-0.0008536648585245355
71,0.0005061127155243884
72,0.0032934144644028696
73,0.004181015909500067
74,-0.0007670792983879061
75,0.0005052903136582124
76,0.001226115691356895
77,-0.004217458552882829
78,0.0012363186798382674
79,-0.004039918376589926
80,0.0021324565711131785
81,0.0031906813461412974
82,0.0018336070433077306
83,0.004836695255475871
84,0.0008156945700625884
85,0.002171769896507076
86,0.003522086218593361
87,0.002561409117920495
88,0.013188325783365363
89,0.0019066433167621234
90,0.007380544368850251
91,-0.0002720553616357528
92,0.001408707742864029
93,0.0013126502290076085
94,0.0014093142581212616
95,0.0011959735675570586
96,0.0013191530552212549
97,0.0004975213418029187
98,0.0006140955845457347
99,0.000606650947330433
100,0.0016583675053926346
101,0.0031699783397236567
102,-0.00134435750124535
103,-0.00021500728854138512
104,0.0019508737072242565
105,0.0010478171195677831
106,0.001538206027440022
107,0.0011225632226887924
108,0.003491262023464409
109,0.003510196908121007
110,0.0030095749774785296
111,-0.00013201125772777827
112,0.0028868425752709343
113,-0.001574110376083745
114,0.0012359088601327974
115,-0.0005390655880141256
116,0.002227673665145463
117,0.0031680182461348433
118,0.008863190228456419
