"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
1,A,2.983123e+001,1.025771e+001,3.810000e+002,3.650000e+002,306,2.539144e-001,3.670779e+002,8.793793e+001,1.379731e+001,4.861356e-001,4.409575e+001,1.192810e+000,2.041116e+000,5.327695e-001
1,B,1.852266e+001,1.025771e+001,3.090000e+002,4.290000e+002,190,3.167460e-001,5.527524e+002,9.346292e+001,1.610092e+001,8.667284e-001,8.069112e+001,2.257895e+000,2.110412e+000,5.142759e-001
1,C,1.374576e+001,1.025771e+001,1.720000e+002,2.490000e+002,141,4.589059e-001,3.001686e+002,6.978331e+001,1.834374e+001,1.129054e+000,6.165751e+001,1.765957e+000,2.029153e+000,4.985214e-001
1,D,7.506551e+000,1.025771e+001,1.840000e+002,1.240000e+002,77,3.731768e-001,4.228316e+002,7.490926e+001,1.556506e+001,1.083030e+000,8.021790e+001,1.610390e+000,2.029903e+000,5.422838e-001
1,E,1.559803e+000,1.025771e+001,1.560000e+002,4.600000e+001,16,2.448483e-001,1.130110e+003,8.601489e+001,1.295101e+001,4.234568e-001,6.439564e+001,2.875000e+000,2.042769e+000,5.264650e-001
1,F,4.776896e+000,1.025771e+001,1.270000e+002,1.150000e+002,49,4.270665e-001,4.774267e+002,6.671960e+001,1.602960e+001,1.288738e+000,7.902162e+001,2.346939e+000,2.110483e+000,5.688632e-001
1,G,1.296586e+001,1.025771e+001,1.670000e+002,2.720000e+002,133,4.447435e-001,3.735883e+002,7.043933e+001,1.752943e+001,1.125625e+000,6.771187e+001,2.045113e+000,2.225095e+000,5.018678e-001
1,H,2.125231e+001,1.025771e+001,5.320000e+002,3.430000e+002,218,2.466242e-001,5.147100e+002,8.502323e+001,1.315919e+001,5.902269e-001,6.366463e+001,1.573394e+000,1.987150e+000,5.579757e-001
1,I,2.193473e+001,1.025771e+001,2.770000e+002,4.480000e+002,225,3.383271e-001,4.489339e+002,8.153239e+001,1.512552e+001,8.250284e-001,6.591922e+001,1.991111e+000,2.015681e+000,5.125384e-001
1,J,2.047241e+001,1.025771e+001,3.640000e+002,2.970000e+002,210,2.260951e-001,4.394110e+002,8.533269e+001,1.407319e+001,5.575032e-001,5.694153e+001,1.414286e+000,1.987615e+000,5.627101e-001
1,K,1.345330e+001,1.025771e+001,1.750000e+002,2.230000e+002,138,3.949920e-001,3.183194e+002,7.093107e+001,1.602079e+001,9.981901e-001,5.923043e+001,1.615942e+000,2.154604e+000,4.862698e-001
1,L,8.968866e+000,1.025771e+001,1.980000e+002,1.250000e+002,92,3.255382e-001,4.269588e+002,8.592131e+001,2.025835e+001,6.625363e-001,8.107754e+001,1.358696e+000,1.713287e+000,6.321493e-001
1,M,7.896502e+000,1.025771e+001,1.870000e+002,5.200000e+001,81,2.478312e-001,2.705033e+002,6.406229e+001,1.224576e+001,3.855030e-001,2.530617e+001,6.419753e-001,1.852694e+000,5.331234e-001
