"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,1.637793e+001,1.025771e+001,2.320000e+002,2.650000e+002,168,3.566492e-001,3.179896e+002,7.096289e+001,1.573935e+001,9.532307e-001,5.881828e+001,1.577381e+000,1.992412e+000,5.153541e-001
2,C,8.578915e+001,1.025771e+001,1.017000e+003,1.014000e+003,880,2.388505e-001,2.303708e+002,9.837064e+001,2.306238e+001,1.137347e+000,1.173350e+002,1.152273e+000,1.392728e+000,7.359509e-001
2,D,3.821517e+001,1.025771e+001,5.040000e+002,5.320000e+002,392,2.854408e-001,3.876134e+002,8.310587e+001,1.808114e+001,8.267604e-001,8.500368e+001,1.357143e+000,1.616084e+000,6.359284e-001
2,E,1.221521e+002,1.025771e+001,1.320000e+003,1.479000e+003,1253,2.718635e-001,2.722309e+002,1.008851e+002,2.786306e+001,1.062548e+000,1.298940e+002,1.180367e+000,1.370849e+000,7.388172e-001
2,F,4.562423e+001,1.025771e+001,5.680000e+002,5.670000e+002,468,2.589285e-001,2.739844e+002,8.656699e+001,2.149852e+001,1.025976e+000,9.031455e+001,1.211538e+000,1.529299e+000,6.725856e-001
2,G,5.859009e+001,1.025771e+001,8.230000e+002,7.980000e+002,601,2.633567e-001,3.277914e+002,9.051465e+001,2.034339e+001,9.612422e-001,1.054936e+002,1.327787e+000,1.508256e+000,6.582319e-001
2,H,2.271463e+001,1.025771e+001,3.470000e+002,3.400000e+002,233,3.107099e-001,3.999267e+002,7.619535e+001,1.636345e+001,7.541337e-001,6.674007e+001,1.459227e+000,1.712110e+000,5.809082e-001
2,I,1.696286e+001,1.025771e+001,2.820000e+002,2.570000e+002,174,3.434622e-001,3.256687e+002,7.474923e+001,1.672653e+001,8.770416e-001,6.099842e+001,1.477011e+000,1.860587e+000,5.262341e-001
2,J,1.569552e+001,1.025771e+001,2.510000e+002,2.870000e+002,161,3.761997e-001,3.718033e+002,6.874065e+001,1.535593e+001,8.835715e-001,5.150255e+001,1.782609e+000,1.889271e+000,5.116412e-001
2,K,8.286452e+001,1.025771e+001,1.047000e+003,1.012000e+003,850,2.452748e-001,2.442473e+002,9.097083e+001,2.347167e+001,1.157027e+000,1.036516e+002,1.190588e+000,1.476637e+000,7.252767e-001
2,L,2.310458e+001,1.025771e+001,3.710000e+002,3.470000e+002,237,2.500522e-001,4.032865e+002,8.038030e+001,1.503470e+001,6.740015e-001,6.089911e+001,1.464135e+000,1.933874e+000,5.481299e-001
2,M,9.534294e+001,1.025771e+001,1.085000e+003,1.180000e+003,978,2.803852e-001,2.859952e+002,9.471154e+001,2.468928e+001,1.004948e+000,1.179465e+002,1.206544e+000,1.453707e+000,6.896186e-001
2,N,1.345330e+001,1.025771e+001,2.290000e+002,2.070000e+002,138,3.202249e-001,3.535587e+002,6.585392e+001,1.329779e+001,6.726466e-001,3.699118e+001,1.500000e+000,2.030088e+000,4.966513e-001
