,DS1,DS3,DS4,DS6,DS7,DS9
0,0.38770863280256546,0.5412719061920649,0.5319797898794205,0.37711544859185087,0.7273360795257939,0.7389205656341993
1,0.32615314003753876,0.022100760213000847,0.29224870670761127,0.2616383768067736,0.7117437674839975,0.5262053514079323
2,0.06602281372086692,0.18875636051341954,0.3299549739866034,0.5946645931566454,0.8389386562682514,0.6891139221242479
3,0.10642676921830282,0.17573248349925272,0.5841890927973574,0.31740105602116697,0.34399633278299413,0.6274014173150144
4,0.23324426298191508,0.056478610728003774,0.5841890927973574,0.6094268128557094,0.27548342423985206,0.2686611980697823
5,0.32615314003753876,0.0017011168919740783,0.7381160766157033,0.49584075080243667,0.19422332723763852,0.050307935333227256
6,0.4559243694363667,0.3993801171632572,0.42734295165811587,0.2792652120579998,0.4182966131519562,0.48146412020161067
7,0.6138821896390712,0.12347112248828807,0.26858379405843463,0.3097866893002522,0.43880051914804885,0.5033326040096372
8,0.25377253535772537,0.24674448361342693,0.21958614188204678,0.8230767463069295,0.8306668010034246,0.5559384889120583
9,0.2730167371353418,0.1341572251391448,0.8445421254839967,0.6370582926272501,0.5985807809289414,0.6664552606462623
10,0.21208544693581408,0.15681230702902416,0.1372415277811842,0.476480960982054,0.22913075691820214,0.7590462103575403
11,0.18763385209618644,0.036763143750738,0.8239937732395697,0.4515636100640267,0.25075837225104186,0.8683973880300992
12,0.25377253535772537,0.2892187185094786,0.663740222686918,0.2518940966732012,0.8216141761751252,0.3320443636336974
13,0.7281479154983483,0.1639257734361338,0.535838081154264,0.1524022056824696,0.750436215297628,0.28793600808478437
14,0.5692799128943775,0.056478610728003774,0.4822629366147525,0.7751430939405264,0.45277170839681113,0.6882096955098167
15,0.20529152626995414,0.4634744331505172,0.32409712005822416,0.5684015116321064,0.9292682639075118,0.13012722569412558
16,0.32615314003753876,0.10893599253659106,0.45436645786905394,0.8279697732019324,0.857605933015728,0.6900179226962228
17,0.625018779780371,0.17573248349925272,0.37081479781830956,0.5189491258549295,0.7984525690603965,0.27251691782940557
18,0.11517668933004083,0.005219620933968803,0.19409923369269624,0.22541348963209648,0.5818387600350952,0.30859789151290645
19,0.34872184182917754,0.022100760213000847,0.3299549739866034,0.7213120181987638,0.27548342423985206,0.06017192317687801
20,0.05130217426740198,0.6721309379122277,0.153089039774042,0.3333902065489631,0.32823888842346716,0.09182683423427397
21,0.4999639813294645,0.3517916480103944,0.8794885310428135,0.7889880791181529,0.8294282913620468,0.08781060580870403
22,0.5736594923407337,0.0535619255100604,0.4507907075515256,0.38411943932701276,0.5726276410495349,0.5559384889120583
23,0.6072142241370871,0.2711996676105081,0.597455552325824,0.8230767463069295,0.806599247423974,0.5256284482282185
24,0.6495833358465912,0.07041448578272833,0.07945857896618215,0.6893351576287882,0.39627664440917093,0.37999983305940993
25,0.13695320939928127,0.049019328919911447,0.153918407588632,0.9537233223806194,0.9040865442930929,0.6352656749177827
26,0.14804610251092146,0.07041448578272833,0.1315304711199949,0.8570486334390661,0.8709066375381276,0.9368230633442298
27,0.15814623007152775,0.5008986794988226,0.3299549739866034,0.5287074983280744,0.3497240785903735,0.22714895941827354
28,0.6901935952255815,0.6049474396174748,0.3050855425553452,0.16746109356839628,0.3787137759614111,0.31563742011625034
29,0.019653011877173755,0.15826346977913996,0.10159415600753983,0.6893351576287882,0.07463265117938755,0.3100819508395589
30,0.06107164665820263,0.36738151604799246,0.6228178315987074,0.8894216412263508,0.16343658246906448,0.6773434356615818
31,0.08510690823401307,0.3517916480103944,0.10198945885964342,0.19160180649392153,0.5234916877705179,0.3637056727695062
