"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
1,A,1.286837e+001,1.025771e+001,1.580000e+002,3.050000e+002,132,4.566047e-001,4.248912e+002,7.579926e+001,1.508466e+001,1.081807e+000,7.940680e+001,2.310606e+000,2.351698e+000,4.751925e-001
1,B,1.286837e+001,1.025771e+001,1.630000e+002,2.240000e+002,132,4.545753e-001,3.168999e+002,7.083345e+001,1.683818e+001,1.155234e+000,7.658329e+001,1.696970e+000,2.161519e+000,5.088028e-001
1,C,3.899507e+000,1.025771e+001,1.110000e+002,9.300000e+001,40,2.601289e-001,8.698819e+002,7.641426e+001,1.158701e+001,4.263634e-001,6.285132e+001,2.325000e+000,2.203554e+000,5.820964e-001
1,D,1.169852e+000,1.025771e+001,1.680000e+002,1.800000e+001,12,1.995987e-001,4.191783e+002,6.185076e+001,1.211002e+001,5.078527e-001,5.011574e+001,1.500000e+000,1.915025e+000,5.506569e-001
1,E,3.217093e+000,1.025771e+001,6.100000e+001,2.800000e+001,33,2.717751e-001,4.862772e+002,6.911877e+001,1.349872e+001,3.466366e-001,7.679293e+001,8.484848e-001,1.383951e+000,6.931174e-001
1,F,2.632167e+000,1.025771e+001,1.700000e+002,1.200000e+001,27,2.582916e-001,3.535704e+002,5.992845e+001,1.219564e+001,1.689204e-001,4.277778e+001,4.444444e-001,1.503630e+000,6.090840e-001
1,G,6.239211e+000,1.025771e+001,2.930000e+002,3.200000e+001,64,2.255756e-001,2.823970e+002,6.111320e+001,1.357391e+001,2.767183e-001,3.424148e+001,5.000000e-001,1.731715e+000,5.842121e-001
1,H,4.289458e+000,1.025771e+001,2.650000e+002,2.000000e+001,44,2.502846e-001,3.933832e+002,5.699100e+001,1.117724e+001,3.581410e-001,2.562662e+001,4.545455e-001,1.819749e+000,5.724978e-001
1,I,5.069359e+000,1.025771e+001,1.170000e+002,4.300000e+001,52,2.679579e-001,3.923971e+002,6.621380e+001,1.327014e+001,4.052491e-001,5.998077e+001,8.269231e-001,1.555282e+000,6.545298e-001
1,J,7.311576e+000,1.025771e+001,2.840000e+002,4.800000e+001,75,2.343665e-001,3.977876e+002,6.209157e+001,1.218026e+001,2.705473e-001,4.056667e+001,6.400000e-001,1.598325e+000,6.392790e-001
1,K,5.459310e+000,1.025771e+001,1.990000e+002,2.800000e+001,56,2.432356e-001,3.385929e+002,6.342529e+001,1.215194e+001,2.364665e-001,4.525893e+001,5.000000e-001,1.959302e+000,5.704333e-001
1,L,1.403822e+001,1.025771e+001,3.110000e+002,2.660000e+002,144,2.733602e-001,6.521083e+002,7.445679e+001,1.817634e+001,5.374881e-001,6.357600e+001,1.847222e+000,2.004323e+000,5.416160e-001
1,M,3.022118e+000,1.025771e+001,1.440000e+002,2.500000e+001,31,2.184342e-001,4.648202e+002,6.822020e+001,1.367861e+001,2.737549e-001,5.130376e+001,8.064516e-001,1.744830e+000,6.027310e-001
