"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
1,A,5.751773e+000,1.025771e+001,6.600000e+001,1.240000e+002,59,4.072198e-001,4.435609e+002,8.224259e+001,1.797558e+001,1.021409e+000,7.636992e+001,2.101695e+000,2.182433e+000,5.024543e-001
1,B,3.119606e+000,1.025771e+001,1.050000e+002,4.900000e+001,32,5.672874e-001,2.595493e+002,5.997045e+001,2.049002e+001,1.409418e+000,7.266354e+001,1.531250e+000,2.721951e+000,4.768815e-001
1,C,2.339704e+000,1.025771e+001,1.480000e+002,3.100000e+001,24,2.086342e-001,5.278025e+002,7.171996e+001,1.283915e+001,4.590977e-001,5.656458e+001,1.291667e+000,1.602643e+000,5.946633e-001
1,D,3.412069e+000,1.025771e+001,3.800000e+001,4.900000e+001,35,3.216576e-001,6.158160e+002,7.986431e+001,1.432976e+001,4.875927e-001,1.087429e+002,1.400000e+000,1.225625e+000,7.688684e-001
1,E,1.754778e+000,1.025771e+001,2.100000e+001,6.400000e+001,18,2.491394e-001,9.172716e+002,9.552723e+001,1.418830e+001,9.063658e-001,1.039511e+002,3.555556e+000,2.093910e+000,5.325117e-001
1,F,2.924630e-001,1.025771e+001,1.410000e+002,1.000000e+000,3,1.204705e-001,1.650253e+002,5.098082e+001,1.016667e+001,3.921569e-001,1.800000e+001,3.333333e-001,2.507457e+000,4.204904e-001
1,G,1.949753e+000,1.025771e+001,2.080000e+002,2.800000e+001,20,2.583590e-001,6.798417e+002,7.753569e+001,1.323004e+001,3.950724e-001,9.323750e+001,1.400000e+000,1.289876e+000,7.261045e-001
1,H,3.509556e+000,1.025771e+001,1.720000e+002,4.000000e+001,36,2.238066e-001,3.827961e+002,7.534540e+001,1.380835e+001,5.918030e-001,6.345602e+001,1.111111e+000,2.008333e+000,5.592904e-001
1,I,1.462315e+000,1.025771e+001,1.550000e+002,1.900000e+001,15,3.592556e-001,5.346264e+002,6.587909e+001,1.647643e+001,3.717898e-001,7.141905e+001,1.266667e+000,1.544885e+000,6.375931e-001
1,J,1.657290e+000,1.025771e+001,1.410000e+002,1.500000e+001,17,2.131441e-001,4.749240e+002,6.607427e+001,1.185138e+001,3.039403e-001,5.884314e+001,8.823529e-001,1.483036e+000,6.675990e-001
1,K,2.047241e+000,1.025771e+001,1.450000e+002,2.700000e+001,21,2.403215e-001,4.567790e+002,6.360391e+001,1.322667e+001,5.780917e-001,5.459325e+001,1.285714e+000,1.888406e+000,5.629540e-001
1,L,6.824137e-001,1.025771e+001,4.600000e+001,7.000000e+000,7,2.548061e-001,5.607280e+002,6.269505e+001,1.176404e+001,2.384374e-001,5.157143e+001,1.000000e+000,1.843788e+000,5.532551e-001
1,M,5.849260e-001,1.025771e+001,1.090000e+002,6.000000e+000,6,1.997525e-001,3.892370e+002,6.010673e+001,1.182063e+001,4.214661e-001,5.166667e+001,1.000000e+000,1.701768e+000,6.103995e-001
