"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"
2,L,1.169852e+000,1.025771e+001,2.300000e+001,2.000000e+001,12,4.281469e-001,7.323434e+002,8.030168e+001,1.772868e+001,5.260277e-001,1.289167e+002,1.666667e+000,1.720036e+000,6.756426e-001
2,M,7.799014e-001,1.025771e+001,1.630000e+002,7.000000e+000,8,2.504608e-001,5.089151e+002,6.788359e+001,1.259370e+001,1.941957e-001,4.904167e+001,8.750000e-001,1.427252e+000,7.091334e-001
2,N,2.924630e+000,1.025771e+001,4.000000e+001,5.200000e+001,30,3.950624e-001,6.804336e+002,9.696268e+001,2.863883e+001,5.127539e-001,1.330333e+002,1.733333e+000,1.624949e+000,6.564087e-001
2,O,5.166847e+000,1.025771e+001,1.230000e+002,1.040000e+002,53,3.104399e-001,6.768127e+002,8.838210e+001,2.110483e+001,5.315033e-001,1.081370e+002,1.962264e+000,1.590307e+000,6.384324e-001
2,P,1.121108e+001,1.025771e+001,1.410000e+002,1.880000e+002,115,4.882718e-001,2.866918e+002,6.992262e+001,2.106761e+001,1.181089e+000,7.584306e+001,1.634783e+000,2.300165e+000,4.745651e-001
3,A,4.191970e+000,1.025771e+001,1.820000e+002,7.300000e+001,43,3.737318e-001,4.996911e+002,9.248780e+001,2.418804e+001,6.480233e-001,1.187020e+002,1.697674e+000,1.820452e+000,6.306001e-001
3,B,2.924630e+000,1.025771e+001,1.390000e+002,4.500000e+001,30,2.560842e-001,5.381079e+002,7.879586e+001,2.265817e+001,4.570569e-001,7.117778e+001,1.500000e+000,1.690085e+000,6.116356e-001
3,C,2.339704e+000,1.025771e+001,6.700000e+001,3.600000e+001,24,5.041005e-001,6.014373e+002,9.582305e+001,2.700136e+001,5.835091e-001,1.695556e+002,1.500000e+000,1.483973e+000,7.304682e-001
3,D,1.754778e+000,1.025771e+001,1.810000e+002,3.200000e+001,18,3.772131e-001,6.337576e+002,8.832723e+001,2.045275e+001,4.725622e-001,1.242963e+002,1.777778e+000,1.568228e+000,6.492043e-001
3,E,9.748767e-001,1.025771e+001,8.900000e+001,1.300000e+001,10,2.374930e-001,5.241121e+002,6.574350e+001,1.381318e+001,4.512193e-001,6.188333e+001,1.300000e+000,1.775397e+000,6.134223e-001
3,F,7.409063e+000,1.025771e+001,1.870000e+002,1.720000e+002,76,2.720571e-001,5.346832e+002,7.884443e+001,1.775309e+001,1.035190e+000,8.840285e+001,2.263158e+000,2.107894e+000,5.518732e-001
3,G,2.885635e+001,1.025771e+001,3.680000e+002,4.660000e+002,296,4.304183e-001,5.970947e+002,8.941849e+001,2.112474e+001,6.483757e-001,1.367042e+002,1.574324e+000,1.348800e+000,7.137040e-001
3,H,5.098605e+001,1.025771e+001,5.870000e+002,6.690000e+002,523,4.330681e-001,4.985629e+002,9.682340e+001,2.510790e+001,5.804349e-001,1.541846e+002,1.279159e+000,1.290144e+000,7.485644e-001
3,I,8.773891e-001,1.025771e+001,1.810000e+002,2.000000e+000,9,1.621224e-001,2.569382e+002,5.861370e+001,1.088979e+001,1.736839e-001,1.755556e+001,2.222222e-001,2.592641e+000,4.987514e-001
3,J,1.267340e+000,1.025771e+001,1.190000e+002,5.700000e+001,13,3.866546e-001,1.720152e+003,1.113186e+002,2.244396e+001,5.467789e-001,1.524809e+002,4.384615e+000,1.479284e+000,6.732821e-001
3,K,2.339704e+000,1.025771e+001,7.800000e+001,1.800000e+001,24,1.774687e-001,4.451158e+002,6.857297e+001,1.197886e+001,2.652913e-001,3.882292e+001,7.500000e-001,2.113310e+000,5.166395e-001
3,L,5.849260e+000,1.025771e+001,1.190000e+002,8.200000e+001,60,4.690445e-001,5.056947e+002,9.708765e+001,3.007795e+001,6.274120e-001,1.664317e+002,1.366667e+000,1.359832e+000,7.391313e-001
