,DS8
0,0.003245686849777449
1,0.12480136845363897
2,0.004991253064663877
3,0.04169157747486791
4,0.2589021994286262
5,0.24816692004360835
6,0.01990216788664586
7,0.34593707365265886
8,0.30379423609623785
9,0.011650612735463502
10,0.11876327827796014
11,0.3125111304323131
12,0.08212426754793359
13,0.02567999629329487
14,0.08238059563402793
15,0.2973689799685196
16,0.011650612735463502
17,0.05352535100503662
18,0.12480136845363897
19,0.02872780032646374
20,0.05142914321255012
21,0.0001822836203314024
22,0.15193139651303803
23,0.01711150416694223
24,0.01990216788664586
25,0.2621235957272864
26,0.0037036349163566576
27,0.08212426754793359
28,0.14856164392431084
29,0.015431278604024825
30,0.26147698189679125
31,0.008870114503667589
32,0.011331820248259343
33,0.041834910652339345
34,0.15193139651303803
35,0.006677951761834894
36,0.10676705781850608
37,0.02605646482788496
38,0.1233585210389656
39,0.10176694681176443
40,0.001986231078521416
41,0.05211986606933572
42,0.02956438638290927
43,0.2196433217726742
44,0.4029165365526936
45,0.1835975378142751
46,0.032895862621377336
47,0.1448427539079233
48,0.15193139651303803
49,0.0010442998298719188
50,0.12625798145733153
51,0.4604748936437104
52,0.08238059563402793
53,0.12480136845363897
54,0.05281857775339543
55,0.16924493231370816
56,0.041834910652339345
57,0.21738356462185668
58,0.02811413508673764
59,0.0002677419012002707
60,0.15023893635473734
61,0.21738356462185668
62,0.0196795954660305
63,0.008870114503667589
64,0.05281857775339543
65,0.416898551104282
66,0.05211986606933572
67,0.019679595466030413
68,0.06451656001861077
69,0.01698164694890911
70,0.15193139651303803
71,0.041834910652339345
72,0.2512895773174905
73,0.5519600904056852
74,0.10176694681176443
75,0.0037036349163566576
76,0.13960386107124928
77,0.30379423609623785
78,0.08238059563402793
79,0.02567999629329487
80,0.14981819457532983
81,0.10176694681176443
82,0.08238059563402793
83,0.05281857775339543
84,0.1767851424079372
85,0.041834910652339345
86,0.008870114503667589
87,0.06620382826089281
88,0.08212426754793359
89,0.02567999629329487
90,0.30379423609623785
91,0.15536215720763072
92,0.25698335228463365
93,0.0019953640496818427
94,0.1023811214158161
95,0.01169680959916674
96,0.041834910652339345
97,0.05281857775339543
98,0.01169680959916674
99,0.0003744741562644288
