"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
1,A,1.052867e+001,1.025771e+001,1.300000e+002,2.390000e+002,108,4.745209e-001,4.059484e+002,7.279697e+001,1.845925e+001,1.119262e+000,7.843780e+001,2.212963e+000,2.554777e+000,4.841588e-001
1,B,1.247842e+001,1.025771e+001,1.550000e+002,2.280000e+002,128,4.531577e-001,3.143837e+002,7.296290e+001,1.956709e+001,1.284383e+000,8.277520e+001,1.781250e+000,2.232666e+000,4.856319e-001
1,C,5.849260e-001,1.025771e+001,1.400000e+002,3.000000e+000,6,1.975440e-001,1.789515e+002,5.918049e+001,1.646086e+001,6.305256e-001,4.400000e+001,5.000000e-001,1.849352e+000,6.397818e-001
1,D,9.456304e+000,1.025771e+001,1.880000e+002,6.500000e+001,97,1.682088e-001,5.020104e+002,6.994760e+001,1.205715e+001,1.816912e-001,2.872165e+001,6.701031e-001,1.885045e+000,5.403283e-001
1,E,2.632167e+000,1.025771e+001,1.360000e+002,3.100000e+001,27,2.923391e-001,4.550769e+002,7.609086e+001,1.455067e+001,5.038453e-001,1.001975e+002,1.148148e+000,1.226328e+000,7.979998e-001
1,F,4.874384e+000,1.025771e+001,1.700000e+002,6.400000e+001,50,2.868862e-001,5.472156e+002,7.564919e+001,1.402524e+001,4.623550e-001,9.465667e+001,1.280000e+000,1.281286e+000,7.351636e-001
1,G,1.949753e-001,1.025771e+001,6.000000e+001,0.000000e+000,2,1.311355e-001,3.342285e+002,5.833447e+001,1.030699e+001,0.000000e+000,0.000000e+000,0.000000e+000,1.149235e+000,5.328713e-001
1,H,2.729655e+000,1.025771e+001,1.650000e+002,3.300000e+001,28,2.643882e-001,4.647119e+002,7.121907e+001,1.354754e+001,5.058256e-001,7.907738e+001,1.178571e+000,1.385583e+000,7.148039e-001
1,I,3.217093e+000,1.025771e+001,1.540000e+002,2.700000e+001,33,2.941462e-001,4.029099e+002,6.468614e+001,1.341195e+001,3.326583e-001,6.564899e+001,8.181818e-001,1.547039e+000,6.668182e-001
1,J,2.827143e+000,1.025771e+001,1.130000e+002,4.100000e+001,29,2.350800e-001,5.400240e+002,7.666504e+001,1.480942e+001,5.848684e-001,6.403353e+001,1.413793e+000,1.991801e+000,5.701205e-001
1,K,1.949753e+000,1.025771e+001,1.550000e+002,9.000000e+000,20,1.647396e-001,3.227394e+002,6.483965e+001,1.132629e+001,1.961689e-001,3.005000e+001,4.500000e-001,1.916713e+000,5.306761e-001
1,L,2.827143e+000,1.025771e+001,1.780000e+002,1.300000e+001,29,2.115205e-001,3.329319e+002,6.817425e+001,1.255573e+001,2.699483e-001,3.465517e+001,4.482759e-001,1.570629e+000,6.121698e-001
1,M,3.022118e+000,1.025771e+001,1.980000e+002,3.300000e+001,31,3.232924e-001,5.062619e+002,7.026416e+001,1.406521e+001,4.085532e-001,8.565484e+001,1.064516e+000,1.305029e+000,7.101553e-001
