"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
1,A,1.793773e+001,1.025771e+001,2.040000e+002,3.730000e+002,184,3.705938e-001,4.370515e+002,7.825401e+001,1.437141e+001,7.618429e-001,5.778955e+001,2.027174e+000,2.171785e+000,5.085701e-001
1,B,1.238093e+001,1.025771e+001,1.510000e+002,2.470000e+002,127,4.474867e-001,3.631610e+002,7.167699e+001,1.789991e+001,1.192643e+000,7.339659e+001,1.944882e+000,2.344844e+000,4.749851e-001
1,C,1.169852e+001,1.025771e+001,3.370000e+002,1.150000e+002,120,2.149575e-001,4.059832e+002,8.057692e+001,1.771693e+001,4.239464e-001,5.899353e+001,9.583333e-001,1.754264e+000,5.911228e-001
1,D,5.264334e+000,1.025771e+001,1.600000e+002,9.900000e+001,54,2.831471e-001,5.789039e+002,9.169661e+001,2.017557e+001,7.222240e-001,8.087719e+001,1.833333e+000,1.966110e+000,5.513250e-001
1,E,5.849260e+000,1.025771e+001,1.260000e+002,4.500000e+001,60,2.048616e-001,3.464139e+002,7.339598e+001,1.466320e+001,3.002809e-001,4.278083e+001,7.500000e-001,1.771654e+000,5.435541e-001
1,F,6.921625e+000,1.025771e+001,1.820000e+002,7.300000e+001,71,2.495422e-001,5.057854e+002,6.483989e+001,1.446274e+001,4.755429e-001,4.500480e+001,1.028169e+000,1.838336e+000,5.388496e-001
1,G,7.214088e+000,1.025771e+001,2.680000e+002,1.030000e+002,74,2.310003e-001,6.388733e+002,6.899008e+001,1.341726e+001,3.168958e-001,4.603339e+001,1.391892e+000,1.866287e+000,5.576523e-001
1,H,6.044236e+000,1.025771e+001,2.170000e+002,5.100000e+001,62,2.127537e-001,3.206505e+002,6.667195e+001,1.252351e+001,3.357143e-001,3.738555e+001,8.225806e-001,2.109943e+000,5.210026e-001
1,I,3.899507e+000,1.025771e+001,1.700000e+002,1.400000e+001,40,2.364246e-001,2.627349e+002,6.370408e+001,1.850633e+001,1.861901e-001,3.485000e+001,3.500000e-001,1.836117e+000,5.422974e-001
1,J,1.325832e+001,1.025771e+001,2.380000e+002,1.480000e+002,136,2.545018e-001,4.656928e+002,7.135195e+001,1.585629e+001,3.933673e-001,6.392099e+001,1.088235e+000,1.784994e+000,6.394939e-001
1,K,6.044236e+000,1.025771e+001,2.080000e+002,4.900000e+001,62,2.046874e-001,4.124622e+002,6.634130e+001,1.202049e+001,3.292868e-001,3.049421e+001,7.903226e-001,1.750158e+000,5.541386e-001
1,L,4.581921e+000,1.025771e+001,1.680000e+002,4.500000e+001,47,3.116128e-001,4.894759e+002,6.432017e+001,1.529418e+001,3.425053e-001,5.870449e+001,9.574468e-001,1.718727e+000,5.539728e-001
1,M,8.676403e+000,1.025771e+001,2.820000e+002,9.800000e+001,89,1.909837e-001,4.687414e+002,7.327440e+001,1.270471e+001,3.186600e-001,4.084067e+001,1.101124e+000,2.037721e+000,5.184329e-001
