,cell line,division rate,death rate,DIP rate,KS val,AD val,cell line new
0,PC9.DS1,0.01,0.0095,0.0005,0.00036311055946421176,0.0010000000000000007,not.assigned
1,PC9.DS1,0.011,0.010499999999999999,0.0005,2.290144882411454e-06,0.0010000000000000007,not.assigned
2,PC9.DS1,0.012,0.0115,0.0005,0.0024848056374564445,0.0010000000000000007,not.assigned
3,PC9.DS1,0.013000000000000001,0.0125,0.0005,0.0002527083199589454,0.0010000000000000007,not.assigned
4,PC9.DS1,0.014,0.0135,0.0005,0.0036822493178355,0.00429807037891085,not.assigned
5,PC9.DS1,0.015,0.014499999999999999,0.0005,0.0009557347523813871,0.0010000000000000007,not.assigned
6,PC9.DS1,0.016,0.0155,0.0005,8.534503724025531e-07,0.0010000000000000007,not.assigned
7,PC9.DS1,0.017,0.0165,0.0005,0.0008612613889812458,0.0010000000000000007,not.assigned
8,PC9.DS1,0.018000000000000002,0.0175,0.0005,0.0004776136684951596,0.0010000000000000007,not.assigned
9,PC9.DS1,0.019000000000000003,0.018500000000000003,0.0005,0.022606833899122446,0.0025364151111025523,not.assigned
10,PC9.DS1,0.02,0.0195,0.0005,0.04014955099825585,0.015132061555890013,not.assigned
11,PC9.DS1,0.020999999999999998,0.020499999999999997,0.0005,0.012185204653001378,0.0017667369671693833,not.assigned
12,PC9.DS1,0.022,0.0215,0.0005,0.00048320089446896275,0.0010000000000000007,not.assigned
13,PC9.DS1,0.023,0.0225,0.0005,0.0030282938856319727,0.0010729513073789805,not.assigned
14,PC9.DS1,0.024,0.0235,0.0005,0.0001329528607999723,0.0010000000000000007,not.assigned
15,PC9.DS1,0.025,0.0245,0.0005,0.00023030156972929394,0.0010000000000000007,not.assigned
16,PC9.DS1,0.026000000000000002,0.025500000000000002,0.0005,0.010868789957530843,0.0011630012737705372,not.assigned
17,PC9.DS1,0.027000000000000003,0.026500000000000003,0.0005,0.012162974791250534,0.0014941910496297406,not.assigned
18,PC9.DS1,0.028000000000000004,0.027500000000000004,0.0005,0.001172015037650688,0.0012196008428979749,not.assigned
19,PC9.DS1,0.028999999999999998,0.028499999999999998,0.0005,0.004492954990807663,0.0012652917252194882,not.assigned
20,PC9.DS1,0.03,0.0295,0.0005,0.0011201173473878426,0.0010000000000000007,not.assigned
21,PC9.DS1,0.031,0.0305,0.0005,0.00019044533083683332,0.0010000000000000007,not.assigned
22,PC9.DS1,0.032,0.0315,0.0005,0.006332451166606218,0.0010000000000000007,not.assigned
23,PC9.DS1,0.033,0.0325,0.0005,1.8702525850058957e-05,0.0010000000000000007,not.assigned
24,PC9.DS1,0.034,0.0335,0.0005,0.00013047532958598647,0.0010000000000000007,not.assigned
25,PC9.DS1,0.035,0.0345,0.0005,0.01245509415065544,0.0012727652574299694,not.assigned
26,PC9.DS1,0.036000000000000004,0.035500000000000004,0.0005,0.001961384095082057,0.001107783147243144,not.assigned
27,PC9.DS1,0.037,0.0365,0.0005,0.0013900808289079606,0.0010000000000000007,not.assigned
28,PC9.DS1,0.038,0.0375,0.0005,5.231233078284132e-07,0.0010000000000000007,not.assigned
