,cell line,division rate,death rate,DIP rate,KS val,AD val,cell line new
0,PC9.DS4,0.01,0.0075,0.0025,0.01683431982612489,0.012613663363533388,not.assigned
1,PC9.DS4,0.011,0.008499999999999999,0.0025,0.008885632072587281,0.009494590066544456,not.assigned
2,PC9.DS4,0.012,0.0095,0.0025,0.029582154311625107,0.01778141934879967,not.assigned
3,PC9.DS4,0.013000000000000001,0.0105,0.0025,0.14334611802056707,0.1388707661837319,PC9.DS4
4,PC9.DS4,0.014,0.0115,0.0025,0.0658348108616595,0.03413616885612737,not.assigned
5,PC9.DS4,0.015,0.012499999999999999,0.0025,0.0014681297205317578,0.0031180450045504753,not.assigned
6,PC9.DS4,0.016,0.0135,0.0025,0.03342680569789658,0.022639945283493286,not.assigned
7,PC9.DS4,0.017,0.0145,0.0025,0.013972923432627899,0.015319772916475419,not.assigned
8,PC9.DS4,0.018000000000000002,0.015500000000000002,0.0025,0.05581936245270872,0.08923173185618886,PC9.DS4
9,PC9.DS4,0.019000000000000003,0.016500000000000004,0.0025,0.13074350420676856,0.11069702961297898,PC9.DS4
10,PC9.DS4,0.02,0.0175,0.0025,0.060282526743704726,0.01792383302713394,not.assigned
11,PC9.DS4,0.020999999999999998,0.0185,0.0025,0.18117119557401945,0.12396151352176235,PC9.DS4
12,PC9.DS4,0.022,0.0195,0.0025,0.05294093563579051,0.006026791546050454,not.assigned
13,PC9.DS4,0.023,0.0205,0.0025,0.007176625439184377,0.019090922854856963,not.assigned
14,PC9.DS4,0.024,0.021500000000000002,0.0025,0.09737743022839615,0.03538208568126707,not.assigned
15,PC9.DS4,0.025,0.022500000000000003,0.0025,0.18571140893996635,0.0976086109986124,PC9.DS4
16,PC9.DS4,0.026000000000000002,0.023500000000000004,0.0025,0.014690036431879102,0.003963168812877305,not.assigned
17,PC9.DS4,0.027000000000000003,0.024500000000000004,0.0025,0.005124108870584995,0.007345263037839798,not.assigned
18,PC9.DS4,0.028000000000000004,0.025500000000000005,0.0025,0.0014996289321624915,0.001376388966528129,not.assigned
19,PC9.DS4,0.028999999999999998,0.0265,0.0025,0.009702724899126223,0.0010306074714996301,not.assigned
20,PC9.DS4,0.03,0.0275,0.0025,0.11016027453962797,0.01776674125669358,not.assigned
21,PC9.DS4,0.031,0.0285,0.0025,0.013305725959712505,0.003273193834856272,not.assigned
22,PC9.DS4,0.032,0.029500000000000002,0.0025,0.2314583596064375,0.10093267198995834,PC9.DS4
23,PC9.DS4,0.033,0.030500000000000003,0.0025,0.018009483037752527,0.0023279151059079064,not.assigned
24,PC9.DS4,0.034,0.0315,0.0025,0.2906320454822029,0.12603402358290466,PC9.DS4
25,PC9.DS4,0.035,0.0325,0.0025,0.003001701965945788,0.0015022559299962504,not.assigned
26,PC9.DS4,0.036000000000000004,0.0335,0.0025,0.16265870642492503,0.028844290680831636,not.assigned
27,PC9.DS4,0.037,0.034499999999999996,0.0025,0.010228120799360814,0.0013532586796893612,not.assigned
28,PC9.DS4,0.038,0.0355,0.0025,0.03636114803408018,0.006524670708905094,not.assigned
29,PC9.DS4,0.039,0.0365,0.0025,0.019350134684064116,0.003720578790728718,not.assigned
30,PC9.DS4,0.04,0.0375,0.0025,0.0002630385064727513,0.0010000000000000007,not.assigned
31,PC9.DS4,0.041,0.0385,0.0025,0.04588357151569867,0.007815229748486651,not.assigned
32,PC9.DS4,0.042,0.0395,0.0025,0.00241574226331892,0.0013068456104093622,not.assigned
33,PC9.DS4,0.043000000000000003,0.0405,0.0025,0.01347644016346468,0.001471218600527581,not.assigned
34,PC9.DS4,0.044000000000000004,0.0415,0.0025,0.006710738189445942,0.0014870868322214104,not.assigned
35,PC9.DS4,0.045000000000000005,0.0425,0.0025,0.013868455136408261,0.002085624488540403,not.assigned
36,PC9.DS4,0.046000000000000006,0.043500000000000004,0.0025,0.10190439544829465,0.025328676720737013,not.assigned
37,PC9.DS4,0.047,0.0445,0.0025,0.2824470086215827,0.1103776981565171,PC9.DS4
38,PC9.DS4,0.048,0.0455,0.0025,0.34147473286183005,0.10386107737003364,PC9.DS4
39,PC9.DS4,0.049,0.0465,0.0025,0.016180750206532014,0.0030902008524319566,not.assigned
40,PC9.DS4,0.05,0.0475,0.0025,0.08503646008707004,0.01462644963309338,not.assigned
41,PC9.DS4,0.051000000000000004,0.0485,0.0025,0.06541817479511093,0.03230077038498891,not.assigned
42,PC9.DS4,0.052000000000000005,0.0495,0.0025,0.003500506488249534,0.001048539849154478,not.assigned
43,PC9.DS4,0.053000000000000005,0.0505,0.0025,0.00626060538182336,0.0013416074334567,not.assigned
44,PC9.DS4,0.054,0.0515,0.0025,0.016315176525135634,0.004836284631412464,not.assigned
45,PC9.DS4,0.055,0.0525,0.0025,2.6851209090684976e-05,0.0010000000000000007,not.assigned
46,PC9.DS4,0.056,0.0535,0.0025,0.0010830263953252824,0.001173109301721454,not.assigned
47,PC9.DS4,0.057,0.0545,0.0025,0.018660606781851496,0.002669407069603045,not.assigned
48,PC9.DS4,0.058,0.0555,0.0025,0.02057988686900948,0.002620899539163213,not.assigned
49,PC9.DS4,0.059000000000000004,0.0565,0.0025,0.0040307624302948755,0.0013783659248271026,not.assigned
50,PC9.DS4,0.060000000000000005,0.0575,0.0025,0.005165167288137087,0.0011185819079995035,not.assigned
51,PC9.DS4,0.061000000000000006,0.0585,0.0025,0.042465048626262505,0.01629504773974233,not.assigned
52,PC9.DS4,0.062000000000000006,0.059500000000000004,0.0025,0.01754339155329715,0.008129004645515293,not.assigned
53,PC9.DS4,0.063,0.0605,0.0025,0.17170221343671993,0.0425840021697749,not.assigned
54,PC9.DS4,0.064,0.0615,0.0025,0.011142435656781118,0.003861894115240966,not.assigned
55,PC9.DS4,0.065,0.0625,0.0025,0.0034629478692149423,0.0010882880933587252,not.assigned
56,PC9.DS4,0.066,0.0635,0.0025,0.002064267848535338,0.0016190838833534133,not.assigned
57,PC9.DS4,0.067,0.0645,0.0025,0.0022025111126034703,0.0010000000000000007,not.assigned
58,PC9.DS4,0.068,0.0655,0.0025,0.0012251849497523953,0.0010000000000000007,not.assigned
59,PC9.DS4,0.069,0.0665,0.0025,0.00013323127094561646,0.0010000000000000007,not.assigned
60,PC9.DS4,0.06999999999999999,0.06749999999999999,0.0025,0.004921807144358981,0.0010000000000000007,not.assigned
61,PC9.DS4,0.071,0.06849999999999999,0.0025,0.008303386933995783,0.0011482265696163235,not.assigned
62,PC9.DS4,0.072,0.06949999999999999,0.0025,0.0012358429485276568,0.0010000000000000007,not.assigned
63,PC9.DS4,0.073,0.0705,0.0025,0.0020334205947385407,0.0010000000000000007,not.assigned
64,PC9.DS4,0.074,0.0715,0.0025,0.002245378616369647,0.0010000000000000007,not.assigned
65,PC9.DS4,0.075,0.0725,0.0025,3.685512962681701e-05,0.0010000000000000007,not.assigned
66,PC9.DS4,0.076,0.0735,0.0025,4.317049517556062e-05,0.0010000000000000007,not.assigned
67,PC9.DS4,0.077,0.0745,0.0025,0.018505388877427052,0.001437068034305618,not.assigned
68,PC9.DS4,0.078,0.0755,0.0025,0.000120426021090779,0.0010000000000000007,not.assigned
69,PC9.DS4,0.079,0.0765,0.0025,4.355067449721039e-06,0.0010000000000000007,not.assigned
70,PC9.DS4,0.08,0.0775,0.0025,0.0022060273985579806,0.0010000000000000007,not.assigned
71,PC9.DS4,0.01,0.0074,0.0026,0.01588595551930483,0.010196598793799689,not.assigned
72,PC9.DS4,0.011,0.0084,0.0026,0.049927703715049884,0.03371815967341004,not.assigned
73,PC9.DS4,0.012,0.0094,0.0026,0.017073994631429085,0.020249730302522827,not.assigned
74,PC9.DS4,0.013000000000000001,0.010400000000000001,0.0026,0.03293341838878863,0.04196559060135213,not.assigned
75,PC9.DS4,0.014,0.0114,0.0026,0.017661456167711812,0.021663611756160626,not.assigned
76,PC9.DS4,0.015,0.0124,0.0026,0.0650590887105079,0.07264349601728587,PC9.DS4
77,PC9.DS4,0.016,0.0134,0.0026,0.09546293030067407,0.07210638120135186,PC9.DS4
78,PC9.DS4,0.017,0.014400000000000001,0.0026,0.05747546977363061,0.040610557711501856,not.assigned
79,PC9.DS4,0.018000000000000002,0.015400000000000002,0.0026,0.15158838422473858,0.11571058326673943,PC9.DS4
80,PC9.DS4,0.019000000000000003,0.016400000000000005,0.0026,0.12198457739364163,0.06933048937957959,PC9.DS4
81,PC9.DS4,0.02,0.0174,0.0026,0.09590313653510528,0.13413564663718197,PC9.DS4
