,p-value,cell.line,DIP Rate,Division Rate,Death Rate,param.pair,Cell Line
0,0.003035465587256237,not.assigned,0.0005,0.041,0.0405,0,not.assigned
1,0.004727861711870636,not.assigned,0.0005,0.041,0.0405,1,not.assigned
2,0.003969027935536892,not.assigned,0.0005,0.041,0.0405,2,not.assigned
3,0.0053744992737501576,not.assigned,0.0005,0.041,0.0405,3,not.assigned
4,0.001507776713737169,not.assigned,0.0005,0.041,0.0405,4,not.assigned
5,0.00425756752990834,not.assigned,0.0005,0.041,0.0405,5,not.assigned
6,9.794974339889018e-05,not.assigned,0.0005,0.041,0.0405,6,not.assigned
7,0.0001635630576433724,not.assigned,0.0005,0.041,0.0405,7,not.assigned
8,0.00037800712125786413,not.assigned,0.0005,0.041,0.0405,8,not.assigned
9,0.005228498022780432,not.assigned,0.0005,0.041,0.0405,9,not.assigned
10,9.081367683217356e-07,not.assigned,0.0005,0.041,0.0405,10,not.assigned
11,0.0029127923343626196,not.assigned,0.0007,0.041,0.0403,11,not.assigned
12,0.011377385197060351,not.assigned,0.0007,0.041,0.0403,12,not.assigned
13,0.0005452796704581597,not.assigned,0.0007,0.041,0.0403,13,not.assigned
14,0.02596055568337272,not.assigned,0.0007,0.041,0.0403,14,not.assigned
15,0.06912331314595625,not.assigned,0.0007,0.041,0.0403,15,not.assigned
16,0.006378199355630758,not.assigned,0.0007,0.041,0.0403,16,not.assigned
17,0.04233788054269714,not.assigned,0.0007,0.041,0.0403,17,not.assigned
18,0.018231498493715765,not.assigned,0.0007,0.041,0.0403,18,not.assigned
19,0.013670597756895726,not.assigned,0.0007,0.041,0.0403,19,not.assigned
20,0.0018712189001286697,not.assigned,0.0007,0.041,0.0403,20,not.assigned
21,0.0040227336276073,not.assigned,0.0007,0.041,0.0403,21,not.assigned
22,0.005200680190027829,not.assigned,0.0009,0.041,0.040100000000000004,22,not.assigned
23,0.0014655426034289047,not.assigned,0.0009,0.041,0.040100000000000004,23,not.assigned
24,0.00721812718364701,not.assigned,0.0009,0.041,0.040100000000000004,24,not.assigned
25,0.0022353221914204555,not.assigned,0.0009,0.041,0.040100000000000004,25,not.assigned
26,0.04973771676871693,not.assigned,0.0009,0.041,0.040100000000000004,26,not.assigned
27,0.0011905757523309366,not.assigned,0.0009,0.041,0.040100000000000004,27,not.assigned
28,0.12876550496625672,PC9-DS8,0.0009,0.041,0.040100000000000004,28,PC9-DS8.1
29,0.0002267774213380578,not.assigned,0.0009,0.041,0.040100000000000004,29,not.assigned
30,0.061523025262653866,not.assigned,0.0009,0.041,0.040100000000000004,30,not.assigned
31,0.009893148953978888,not.assigned,0.0009,0.041,0.040100000000000004,31,not.assigned
32,0.1859916343370991,PC9-DS8,0.0009,0.041,0.040100000000000004,32,PC9-DS8.1
33,0.0078020432133158,not.assigned,0.0011,0.041,0.039900000000000005,33,not.assigned
34,0.03996743149679039,not.assigned,0.0011,0.041,0.039900000000000005,34,not.assigned
35,0.017869773907702207,not.assigned,0.0011,0.041,0.039900000000000005,35,not.assigned
36,0.0012138359802827431,not.assigned,0.0011,0.041,0.039900000000000005,36,not.assigned
37,0.059006423154428306,not.assigned,0.0011,0.041,0.039900000000000005,37,not.assigned
38,0.02691607592345218,not.assigned,0.0011,0.041,0.039900000000000005,38,not.assigned
39,0.053389469680203416,not.assigned,0.0011,0.041,0.039900000000000005,39,not.assigned
40,0.03752797572848344,not.assigned,0.0011,0.041,0.039900000000000005,40,not.assigned
41,0.16747981362320358,PC9-DS8,0.0011,0.041,0.039900000000000005,41,PC9-DS8.1
42,0.13161946085368847,PC9-DS8,0.0011,0.041,0.039900000000000005,42,PC9-DS8.1
43,0.08636575802393752,not.assigned,0.0011,0.041,0.039900000000000005,43,not.assigned
44,0.0002819206133652344,not.assigned,0.0013,0.041,0.0397,44,not.assigned
45,0.004161391593459633,not.assigned,0.0013,0.041,0.0397,45,not.assigned
46,0.014339246840291687,not.assigned,0.0013,0.041,0.0397,46,not.assigned
47,0.0021904168055835033,not.assigned,0.0013,0.041,0.0397,47,not.assigned
48,0.05355345835854409,not.assigned,0.0013,0.041,0.0397,48,not.assigned
49,0.05411071658297246,not.assigned,0.0013,0.041,0.0397,49,not.assigned
50,0.04745806290104792,not.assigned,0.0013,0.041,0.0397,50,not.assigned
51,0.013941340850687064,not.assigned,0.0013,0.041,0.0397,51,not.assigned
52,0.07436588159804561,not.assigned,0.0013,0.041,0.0397,52,not.assigned
53,0.01318848727674569,not.assigned,0.0013,0.041,0.0397,53,not.assigned
54,0.020512322460614657,not.assigned,0.0013,0.041,0.0397,54,not.assigned
55,0.005218219991406678,not.assigned,0.0015,0.041,0.0395,55,not.assigned
56,0.0035722982844140767,not.assigned,0.0015,0.041,0.0395,56,not.assigned
57,0.028948119498119772,not.assigned,0.0015,0.041,0.0395,57,not.assigned
58,0.008503306503809377,not.assigned,0.0015,0.041,0.0395,58,not.assigned
59,5.1307802955828626e-05,not.assigned,0.0015,0.041,0.0395,59,not.assigned
60,0.01935624620259474,not.assigned,0.0015,0.041,0.0395,60,not.assigned
61,0.0007215409819725281,not.assigned,0.0015,0.041,0.0395,61,not.assigned
62,0.008202381416987977,not.assigned,0.0015,0.041,0.0395,62,not.assigned
63,0.0015430114198802982,not.assigned,0.0015,0.041,0.0395,63,not.assigned
64,0.014590396349164706,not.assigned,0.0015,0.041,0.0395,64,not.assigned
65,0.04413902413719127,not.assigned,0.0015,0.041,0.0395,65,not.assigned
66,0.0004924264098974471,not.assigned,0.0005,0.041,0.0405,66,not.assigned
67,0.0005208075259562103,not.assigned,0.0005,0.041,0.0405,67,not.assigned
68,0.00039252487152271754,not.assigned,0.0005,0.041,0.0405,68,not.assigned
69,0.00010756779403773679,not.assigned,0.0005,0.041,0.0405,69,not.assigned
70,0.0026085655725586114,not.assigned,0.0005,0.041,0.0405,70,not.assigned
71,0.0003169626277231185,not.assigned,0.0005,0.041,0.0405,71,not.assigned
72,0.001342856593319691,not.assigned,0.0005,0.041,0.0405,72,not.assigned
73,0.00020506038410580832,not.assigned,0.0005,0.041,0.0405,73,not.assigned
74,0.0007732155559900763,not.assigned,0.0005,0.041,0.0405,74,not.assigned
75,0.0010083331812536863,not.assigned,0.0005,0.041,0.0405,75,not.assigned
76,0.0005181064333961951,not.assigned,0.0005,0.041,0.0405,76,not.assigned
77,0.009843795343836855,not.assigned,0.0007,0.041,0.0403,77,not.assigned
78,0.04717464450871827,not.assigned,0.0007,0.041,0.0403,78,not.assigned
79,0.0011932444050068828,not.assigned,0.0007,0.041,0.0403,79,not.assigned
80,0.01859975178732888,not.assigned,0.0007,0.041,0.0403,80,not.assigned
81,0.06904655424050937,not.assigned,0.0007,0.041,0.0403,81,not.assigned
82,0.0004955615603382112,not.assigned,0.0007,0.041,0.0403,82,not.assigned
83,0.00013304190964163998,not.assigned,0.0007,0.041,0.0403,83,not.assigned
84,0.10568508150100696,PC9-DS8,0.0007,0.041,0.0403,84,PC9-DS8.1
85,0.08247942174351976,not.assigned,0.0007,0.041,0.0403,85,not.assigned
86,0.06577852085098576,not.assigned,0.0007,0.041,0.0403,86,not.assigned
87,0.0012167574285415464,not.assigned,0.0007,0.041,0.0403,87,not.assigned
88,0.002679834965706111,not.assigned,0.0009,0.041,0.040100000000000004,88,not.assigned
89,0.0023508505427737325,not.assigned,0.0009,0.041,0.040100000000000004,89,not.assigned
90,0.00023972800623465763,not.assigned,0.0009,0.041,0.040100000000000004,90,not.assigned
91,0.002460121041816211,not.assigned,0.0009,0.041,0.040100000000000004,91,not.assigned
92,0.02802385831168592,not.assigned,0.0009,0.041,0.040100000000000004,92,not.assigned
93,0.08636575802393752,not.assigned,0.0009,0.041,0.040100000000000004,93,not.assigned
94,0.0005452796704581597,not.assigned,0.0009,0.041,0.040100000000000004,94,not.assigned
95,0.0038673599677810514,not.assigned,0.0009,0.041,0.040100000000000004,95,not.assigned
96,0.005198471812931992,not.assigned,0.0009,0.041,0.040100000000000004,96,not.assigned
97,0.002393904303309417,not.assigned,0.0009,0.041,0.040100000000000004,97,not.assigned
98,0.010407662209485361,not.assigned,0.0009,0.041,0.040100000000000004,98,not.assigned
99,0.0006426700545773899,not.assigned,0.0011,0.041,0.039900000000000005,99,not.assigned
100,0.011783148857076538,not.assigned,0.0011,0.041,0.039900000000000005,100,not.assigned
101,0.09011499508547804,not.assigned,0.0011,0.041,0.039900000000000005,101,not.assigned
102,0.0034853718680907335,not.assigned,0.0011,0.041,0.039900000000000005,102,not.assigned
103,0.0003228496231108142,not.assigned,0.0011,0.041,0.039900000000000005,103,not.assigned
104,0.04703617246050282,not.assigned,0.0011,0.041,0.039900000000000005,104,not.assigned
105,0.12307894317511785,PC9-DS8,0.0011,0.041,0.039900000000000005,105,PC9-DS8.1
106,0.01948496355925677,not.assigned,0.0011,0.041,0.039900000000000005,106,not.assigned
107,0.0268281526553229,not.assigned,0.0011,0.041,0.039900000000000005,107,not.assigned
108,0.08670105430791351,not.assigned,0.0011,0.041,0.039900000000000005,108,not.assigned
109,0.004605450932188463,not.assigned,0.0011,0.041,0.039900000000000005,109,not.assigned
110,0.00931290601715869,not.assigned,0.0013,0.041,0.0397,110,not.assigned
111,0.049318798626482516,not.assigned,0.0013,0.041,0.0397,111,not.assigned
112,0.0016195948915655553,not.assigned,0.0013,0.041,0.0397,112,not.assigned
113,0.0001871885132109288,not.assigned,0.0013,0.041,0.0397,113,not.assigned
114,0.11565287605550276,PC9-DS8,0.0013,0.041,0.0397,114,PC9-DS8.1
115,0.02037392597445507,not.assigned,0.0013,0.041,0.0397,115,not.assigned
116,0.009821840764585291,not.assigned,0.0013,0.041,0.0397,116,not.assigned
117,0.20315973045904273,PC9-DS8,0.0013,0.041,0.0397,117,PC9-DS8.1
118,0.01917499184257403,not.assigned,0.0013,0.041,0.0397,118,not.assigned
119,0.039243035453616126,not.assigned,0.0013,0.041,0.0397,119,not.assigned
120,0.0761443176050566,not.assigned,0.0013,0.041,0.0397,120,not.assigned
121,0.003992680430095802,not.assigned,0.0015,0.041,0.0395,121,not.assigned
122,0.005655012590227445,not.assigned,0.0015,0.041,0.0395,122,not.assigned
123,0.022151333689486786,not.assigned,0.0015,0.041,0.0395,123,not.assigned
124,0.003739135317934986,not.assigned,0.0015,0.041,0.0395,124,not.assigned
125,0.034605692089610215,not.assigned,0.0015,0.041,0.0395,125,not.assigned
126,0.03043281317544094,not.assigned,0.0015,0.041,0.0395,126,not.assigned
127,0.01803747004419176,not.assigned,0.0015,0.041,0.0395,127,not.assigned
128,0.05020203513644384,not.assigned,0.0015,0.041,0.0395,128,not.assigned
129,0.0026795432118486154,not.assigned,0.0015,0.041,0.0395,129,not.assigned
130,0.003308044204347891,not.assigned,0.0015,0.041,0.0395,130,not.assigned
131,0.022526124690628764,not.assigned,0.0015,0.041,0.0395,131,not.assigned
132,0.0003330976045770886,not.assigned,0.0005,0.041,0.0405,132,not.assigned
133,2.4162049511161656e-06,not.assigned,0.0005,0.041,0.0405,133,not.assigned
134,4.626534438929315e-06,not.assigned,0.0005,0.041,0.0405,134,not.assigned
135,7.401547764751723e-06,not.assigned,0.0005,0.041,0.0405,135,not.assigned
136,0.00010174038383390116,not.assigned,0.0005,0.041,0.0405,136,not.assigned
137,0.0027773510349641704,not.assigned,0.0005,0.041,0.0405,137,not.assigned
138,0.0012281082312056812,not.assigned,0.0005,0.041,0.0405,138,not.assigned
139,3.358712414771721e-05,not.assigned,0.0005,0.041,0.0405,139,not.assigned
140,0.017373589265253328,not.assigned,0.0005,0.041,0.0405,140,not.assigned
141,0.004239036456619566,not.assigned,0.0005,0.041,0.0405,141,not.assigned
142,0.0003943613269438928,not.assigned,0.0005,0.041,0.0405,142,not.assigned
143,0.005875147265409388,not.assigned,0.0007,0.041,0.0403,143,not.assigned
144,0.020952063755898344,not.assigned,0.0007,0.041,0.0403,144,not.assigned
145,0.0004658825696759655,not.assigned,0.0007,0.041,0.0403,145,not.assigned
146,0.01992613262519616,not.assigned,0.0007,0.041,0.0403,146,not.assigned
147,0.007709684151399435,not.assigned,0.0007,0.041,0.0403,147,not.assigned
148,0.007873475069645553,not.assigned,0.0007,0.041,0.0403,148,not.assigned
149,0.0011726462063883609,not.assigned,0.0007,0.041,0.0403,149,not.assigned
150,0.0019785896876068887,not.assigned,0.0007,0.041,0.0403,150,not.assigned
151,0.007709684151399435,not.assigned,0.0007,0.041,0.0403,151,not.assigned
152,0.007399395482752817,not.assigned,0.0007,0.041,0.0403,152,not.assigned
153,0.016321900992385768,not.assigned,0.0007,0.041,0.0403,153,not.assigned
154,0.006888329173499395,not.assigned,0.0009,0.041,0.040100000000000004,154,not.assigned
155,0.002349059074328258,not.assigned,0.0009,0.041,0.040100000000000004,155,not.assigned
156,0.00010280817131567552,not.assigned,0.0009,0.041,0.040100000000000004,156,not.assigned
157,0.04538400985247822,not.assigned,0.0009,0.041,0.040100000000000004,157,not.assigned
158,0.1319235668883894,PC9-DS8,0.0009,0.041,0.040100000000000004,158,PC9-DS8.1
159,0.02130116490473422,not.assigned,0.0009,0.041,0.040100000000000004,159,not.assigned
160,0.03629434174901732,not.assigned,0.0009,0.041,0.040100000000000004,160,not.assigned
161,0.018231498493715765,not.assigned,0.0009,0.041,0.040100000000000004,161,not.assigned
162,0.21552587847728208,PC9-DS8,0.0009,0.041,0.040100000000000004,162,PC9-DS8.1
163,0.07454798574049491,not.assigned,0.0009,0.041,0.040100000000000004,163,not.assigned
164,0.04224904291237291,not.assigned,0.0009,0.041,0.040100000000000004,164,not.assigned
165,0.003603033050925061,not.assigned,0.0011,0.041,0.039900000000000005,165,not.assigned
166,0.025630801820616906,not.assigned,0.0011,0.041,0.039900000000000005,166,not.assigned
167,0.040941735529825884,not.assigned,0.0011,0.041,0.039900000000000005,167,not.assigned
168,0.005313847111452265,not.assigned,0.0011,0.041,0.039900000000000005,168,not.assigned
169,0.00015611325419901735,not.assigned,0.0011,0.041,0.039900000000000005,169,not.assigned
