"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,6.143170e+001,1.369000e+001,1.040000e+003,1.986000e+003,841,1.949380e-001,1.775688e+002,1.194552e+002,3.650687e+001,7.216467e-001,1.420084e+002,2.361474e+000,1.237482e+000,7.810804e-001
2,C,1.378378e+002,1.369000e+001,2.093000e+003,4.314000e+003,1887,1.963659e-001,1.634938e+002,1.176880e+002,3.463168e+001,7.586204e-001,1.399455e+002,2.286169e+000,1.240635e+000,7.969871e-001
2,D,8.049671e+001,1.369000e+001,1.325000e+003,2.488000e+003,1102,1.903468e-001,1.660750e+002,1.174925e+002,3.513850e+001,7.489568e-001,1.385748e+002,2.257713e+000,1.252627e+000,7.896356e-001
2,E,8.918919e+001,1.369000e+001,1.563000e+003,2.862000e+003,1221,1.932849e-001,1.675403e+002,1.178608e+002,3.498063e+001,7.581495e-001,1.388378e+002,2.343980e+000,1.247528e+000,7.891380e-001
2,F,6.391527e+001,1.369000e+001,1.156000e+003,2.260000e+003,875,1.960461e-001,1.840411e+002,1.161617e+002,3.220533e+001,7.558929e-001,1.363846e+002,2.582857e+000,1.258559e+000,7.821132e-001
2,G,1.043828e+002,1.369000e+001,1.771000e+003,3.331000e+003,1429,1.909254e-001,1.648751e+002,1.198595e+002,3.726328e+001,7.669452e-001,1.422692e+002,2.331001e+000,1.250020e+000,7.854797e-001
3,B,1.365230e+002,1.369000e+001,2.178000e+003,6.259000e+003,1869,3.755646e-001,2.764840e+002,1.540476e+002,7.601125e+001,6.797580e-001,2.043873e+002,3.348850e+000,1.246799e+000,7.910718e-001
3,C,1.325785e+002,1.369000e+001,1.979000e+003,6.192000e+003,1815,3.901940e-001,2.741750e+002,1.573052e+002,7.927602e+001,6.993617e-001,2.107134e+002,3.411570e+000,1.219580e+000,8.007668e-001
3,D,1.473338e+002,1.369000e+001,2.285000e+003,6.878000e+003,2017,3.799691e-001,2.804264e+002,1.536014e+002,7.552326e+001,6.920695e-001,2.055072e+002,3.410015e+000,1.221503e+000,7.967600e-001
3,E,1.156318e+002,1.369000e+001,1.698000e+003,5.295000e+003,1583,3.887772e-001,2.672050e+002,1.563063e+002,8.027333e+001,7.055965e-001,2.099598e+002,3.344915e+000,1.210749e+000,8.081628e-001
3,F,1.207451e+002,1.369000e+001,3.057000e+003,5.401000e+003,1653,2.950643e-001,2.789256e+002,1.382340e+002,4.711065e+001,6.337157e-001,1.709589e+002,3.267393e+000,1.375794e+000,7.246083e-001
3,G,1.417823e+002,1.369000e+001,3.155000e+003,5.878000e+003,1941,3.183701e-001,2.638391e+002,1.432904e+002,5.952149e+001,6.244209e-001,1.812413e+002,3.028336e+000,1.369993e+000,7.354199e-001
4,B,1.942294e+002,1.369000e+001,3.549000e+003,1.236600e+004,2659,4.085207e-001,3.002866e+002,1.686149e+002,8.692811e+001,9.105640e-001,2.276801e+002,4.650621e+000,1.213415e+000,8.021314e-001
