"Column","Row","Cell Nuclei / mm^2","Evaluated Area [mm^2]","Estimated Total Cell Count","Total Granule Count","Cell Nucleus","Contrast","Size [um^2]","Intensity","Roughness","Granularity","Granule Intensity","Granule Count","Longishness","Compactness"





1
Timespan (h):, 0.0000
2,B,7.596786e+001,1.369000e+001,1.327000e+003,2.808000e+003,1040,1.968055e-001,1.894964e+002,1.241324e+002,3.557096e+001,7.621818e-001,1.485473e+002,2.700000e+000,1.211951e+000,7.853221e-001
2,C,1.524470e+002,1.369000e+001,2.444000e+003,5.620000e+003,2087,2.074982e-001,1.763012e+002,1.272847e+002,4.060626e+001,8.228561e-001,1.535582e+002,2.692861e+000,1.217124e+000,7.997789e-001
2,D,1.343316e+002,1.369000e+001,2.247000e+003,4.930000e+003,1839,1.979520e-001,1.753652e+002,1.293230e+002,3.900278e+001,8.263437e-001,1.546369e+002,2.680805e+000,1.222503e+000,7.983737e-001
2,E,1.186267e+002,1.369000e+001,1.987000e+003,4.332000e+003,1624,2.002499e-001,1.789938e+002,1.269750e+002,3.910685e+001,8.036030e-001,1.524660e+002,2.667488e+000,1.223267e+000,7.957976e-001
2,F,1.148283e+002,1.369000e+001,2.055000e+003,4.206000e+003,1572,1.954589e-001,1.797379e+002,1.283286e+002,3.850724e+001,8.027126e-001,1.537704e+002,2.675573e+000,1.225296e+000,7.893480e-001
2,G,1.154127e+002,1.369000e+001,1.973000e+003,4.059000e+003,1580,2.020277e-001,1.701346e+002,1.292838e+002,4.189532e+001,8.112794e-001,1.557277e+002,2.568987e+000,1.228148e+000,7.995612e-001
3,B,1.677137e+002,1.369000e+001,3.022000e+003,9.254000e+003,2296,3.463824e-001,2.888978e+002,1.631554e+002,7.405659e+001,7.725559e-001,2.138522e+002,4.030488e+000,1.209024e+000,7.951271e-001
3,C,1.612126e+002,1.369000e+001,2.532000e+003,8.548000e+003,2207,3.634767e-001,2.882196e+002,1.616666e+002,7.660893e+001,7.606622e-001,2.137589e+002,3.873131e+000,1.196558e+000,7.984359e-001
3,D,1.742878e+002,1.369000e+001,2.603000e+003,8.756000e+003,2386,3.708702e-001,2.819707e+002,1.629368e+002,7.788362e+001,7.379438e-001,2.175771e+002,3.669740e+000,1.188469e+000,8.036456e-001
3,E,1.635500e+002,1.369000e+001,2.485000e+003,8.574000e+003,2239,3.728671e-001,2.891899e+002,1.620518e+002,7.680712e+001,7.495350e-001,2.152826e+002,3.829388e+000,1.186641e+000,8.021482e-001
3,F,1.222060e+002,1.369000e+001,3.063000e+003,6.912000e+003,1673,3.136149e-001,3.251339e+002,1.485657e+002,5.443936e+001,6.991236e-001,1.921675e+002,4.131500e+000,1.261973e+000,7.556881e-001
3,G,1.238860e+002,1.369000e+001,3.041000e+003,6.700000e+003,1696,3.192520e-001,3.117461e+002,1.510446e+002,5.874105e+001,6.951058e-001,1.961896e+002,3.950472e+000,1.278262e+000,7.546030e-001
4,B,2.428780e+002,1.369000e+001,4.184000e+003,1.884200e+004,3325,3.976934e-001,2.883343e+002,1.809159e+002,9.695409e+001,1.149791e+000,2.392866e+002,5.666767e+000,1.187977e+000,8.121916e-001
