,cell line,division rate,death rate,DIP rate,KS val,AD val,cell line new
0,PC9.DS9,0.01,0.01,0.0,-1.4259139708126154e-12,0.001,not.assigned
1,PC9.DS9,0.011,0.011,0.0,-2.525970939293992e-09,0.001,not.assigned
2,PC9.DS9,0.012,0.012,0.0,-6.698245404680054e-07,0.001,not.assigned
3,PC9.DS9,0.013000000000000001,0.013000000000000001,0.0,-1.1412813747801218e-09,0.001,not.assigned
4,PC9.DS9,0.014,0.014,0.0,-2.2060404576027713e-06,0.001,not.assigned
5,PC9.DS9,0.015,0.015,0.0,-1.0098579809390434e-08,0.001,not.assigned
6,PC9.DS9,0.016,0.016,0.0,-2.245727630690217e-09,0.001,not.assigned
7,PC9.DS9,0.017,0.017,0.0,-3.1473592443283155e-10,0.001,not.assigned
8,PC9.DS9,0.018000000000000002,0.018000000000000002,0.0,-1.936169009138651e-05,0.001,not.assigned
9,PC9.DS9,0.019000000000000003,0.019000000000000003,0.0,-9.050281096242299e-11,0.001,not.assigned
10,PC9.DS9,0.02,0.02,0.0,-6.926612094247993e-05,0.001,not.assigned
11,PC9.DS9,0.020999999999999998,0.020999999999999998,0.0,-7.123062474872298e-09,0.001,not.assigned
12,PC9.DS9,0.022,0.022,0.0,-1.0192165683188906e-07,0.001,not.assigned
13,PC9.DS9,0.023,0.023,0.0,-3.368553557499085e-06,0.001,not.assigned
14,PC9.DS9,0.024,0.024,0.0,-4.483028729876317e-09,0.001,not.assigned
15,PC9.DS9,0.025,0.025,0.0,-1.3803577149556935e-08,0.001,not.assigned
16,PC9.DS9,0.026000000000000002,0.026000000000000002,0.0,-3.097029387342565e-05,0.001,not.assigned
17,PC9.DS9,0.027000000000000003,0.027000000000000003,0.0,-9.671614718914957e-07,0.001,not.assigned
18,PC9.DS9,0.028000000000000004,0.028000000000000004,0.0,-3.326770437516816e-06,0.001,not.assigned
19,PC9.DS9,0.028999999999999998,0.028999999999999998,0.0,-1.0672156036043163e-05,0.001,not.assigned
20,PC9.DS9,0.03,0.03,0.0,-9.689832742688433e-06,0.001,not.assigned
21,PC9.DS9,0.031,0.031,0.0,-7.838618151589116e-10,0.001,not.assigned
22,PC9.DS9,0.032,0.032,0.0,-4.622052806653712e-08,0.001,not.assigned
23,PC9.DS9,0.033,0.033,0.0,-1.277558835999497e-05,0.001,not.assigned
24,PC9.DS9,0.034,0.034,0.0,-2.2150451134065373e-06,0.001,not.assigned
25,PC9.DS9,0.035,0.035,0.0,-8.291405598262613e-07,0.001,not.assigned
26,PC9.DS9,0.036000000000000004,0.036000000000000004,0.0,-3.7108165038760368e-09,0.001,not.assigned
27,PC9.DS9,0.037,0.037,0.0,-8.26144574656907e-06,0.0009925587090442852,not.assigned
28,PC9.DS9,0.038,0.038,0.0,-6.119853152493284e-07,0.001,not.assigned
29,PC9.DS9,0.039,0.039,0.0,-2.1391562628237774e-05,0.001,not.assigned
30,PC9.DS9,0.04,0.04,0.0,-5.236480167932554e-07,0.001,not.assigned
31,PC9.DS9,0.041,0.041,0.0,-9.622860609066659e-07,0.001,not.assigned
32,PC9.DS9,0.042,0.042,0.0,-2.2985118508922362e-10,0.001,not.assigned
33,PC9.DS9,0.043000000000000003,0.043000000000000003,0.0,-0.00022919900816935926,-4.318711669020858e-05,not.assigned
34,PC9.DS9,0.044000000000000004,0.044000000000000004,0.0,-3.550627480896088e-06,0.001,not.assigned
35,PC9.DS9,0.045000000000000005,0.045000000000000005,0.0,-1.6475455225010916e-06,0.001,not.assigned
36,PC9.DS9,0.046000000000000006,0.046000000000000006,0.0,-1.3971358525152294e-06,0.001,not.assigned
37,PC9.DS9,0.047,0.047,0.0,-4.9661217213356744e-08,0.001,not.assigned
38,PC9.DS9,0.048,0.048,0.0,-8.811139085009142e-08,0.001,not.assigned
39,PC9.DS9,0.049,0.049,0.0,-4.658330970368083e-06,0.001,not.assigned
40,PC9.DS9,0.05,0.05,0.0,-6.478619582374362e-06,0.001,not.assigned
41,PC9.DS9,0.051000000000000004,0.051000000000000004,0.0,-6.852629849034951e-07,0.001,not.assigned
42,PC9.DS9,0.052000000000000005,0.052000000000000005,0.0,-1.5725503771196032e-06,0.001,not.assigned
43,PC9.DS9,0.053000000000000005,0.053000000000000005,0.0,-3.391465612027114e-09,0.001,not.assigned
44,PC9.DS9,0.054,0.054,0.0,-4.5851324767376523e-07,0.001,not.assigned
45,PC9.DS9,0.055,0.055,0.0,-6.4140203220394534e-09,0.001,not.assigned
46,PC9.DS9,0.056,0.056,0.0,-3.1176597088411535e-06,0.001,not.assigned
47,PC9.DS9,0.057,0.057,0.0,-2.9434578616666174e-08,0.001,not.assigned
48,PC9.DS9,0.058,0.058,0.0,-6.327834819969106e-06,0.001,not.assigned
49,PC9.DS9,0.059000000000000004,0.059000000000000004,0.0,-4.187171770745894e-06,0.001,not.assigned
50,PC9.DS9,0.060000000000000005,0.060000000000000005,0.0,-1.3364463900824263e-05,0.001,not.assigned
51,PC9.DS9,0.061000000000000006,0.061000000000000006,0.0,-3.4071702447211993e-09,0.001,not.assigned
52,PC9.DS9,0.062000000000000006,0.062000000000000006,0.0,-6.690930720585526e-07,0.001,not.assigned
53,PC9.DS9,0.063,0.063,0.0,-3.712345893853862e-08,0.001,not.assigned
54,PC9.DS9,0.064,0.064,0.0,-0.0014061181536459972,0.0008099781973395915,not.assigned
55,PC9.DS9,0.065,0.065,0.0,-0.00020181305508631408,0.001,not.assigned
56,PC9.DS9,0.066,0.066,0.0,-1.2724503993043246e-09,0.001,not.assigned
57,PC9.DS9,0.067,0.067,0.0,-5.693346556632272e-09,0.001,not.assigned
58,PC9.DS9,0.068,0.068,0.0,-1.1295176916365125e-06,0.001,not.assigned
59,PC9.DS9,0.069,0.069,0.0,-1.3018275427176727e-07,0.001,not.assigned
60,PC9.DS9,0.06999999999999999,0.06999999999999999,0.0,-1.879594938541816e-07,0.001,not.assigned
61,PC9.DS9,0.071,0.071,0.0,-1.392281656537581e-07,0.001,not.assigned
62,PC9.DS9,0.072,0.072,0.0,-1.5356463332986223e-06,0.001,not.assigned
63,PC9.DS9,0.073,0.073,0.0,-3.1984288290354795e-07,0.001,not.assigned
64,PC9.DS9,0.074,0.074,0.0,-1.9887593554228928e-05,0.001,not.assigned
65,PC9.DS9,0.075,0.075,0.0,-5.837909010628894e-09,0.001,not.assigned
66,PC9.DS9,0.076,0.076,0.0,-4.800059656847652e-08,0.001,not.assigned
67,PC9.DS9,0.077,0.077,0.0,-4.398004477454319e-07,0.001,not.assigned
68,PC9.DS9,0.078,0.078,0.0,-6.300573416832243e-05,0.001,not.assigned
69,PC9.DS9,0.079,0.079,0.0,-4.4482525234344807e-08,0.001,not.assigned
70,PC9.DS9,0.08,0.08,0.0,-6.064937941811697e-08,0.001,not.assigned
71,PC9.DS9,0.01,0.0099,0.0001,-9.550400990280643e-08,0.001,not.assigned
72,PC9.DS9,0.011,0.0109,0.0001,-4.803290941513283e-07,0.001,not.assigned
73,PC9.DS9,0.012,0.0119,0.0001,-1.3744188602531192e-07,0.001,not.assigned
74,PC9.DS9,0.013000000000000001,0.012900000000000002,0.0001,-5.114307630370855e-07,0.001,not.assigned
75,PC9.DS9,0.014,0.013900000000000001,0.0001,-1.9999765755761212e-05,0.0005040528518398267,not.assigned
76,PC9.DS9,0.015,0.0149,0.0001,-8.101553843661367e-10,0.001,not.assigned
77,PC9.DS9,0.016,0.0159,0.0001,-7.855547870635815e-09,0.001,not.assigned
78,PC9.DS9,0.017,0.016900000000000002,0.0001,-4.338060694457336e-07,0.001,not.assigned
79,PC9.DS9,0.018000000000000002,0.017900000000000003,0.0001,-2.7260308229900703e-08,0.001,not.assigned
80,PC9.DS9,0.019000000000000003,0.018900000000000004,0.0001,-1.2807611609251985e-08,0.001,not.assigned
81,PC9.DS9,0.02,0.0199,0.0001,-1.7242332162930218e-08,0.001,not.assigned
82,PC9.DS9,0.020999999999999998,0.0209,0.0001,-1.0245971831801194e-06,0.001,not.assigned
83,PC9.DS9,0.022,0.0219,0.0001,-6.881242336879029e-05,0.0007336807630307027,not.assigned
84,PC9.DS9,0.023,0.0229,0.0001,-2.2234464044990183e-07,0.001,not.assigned
