,cell line,division rate,death rate,DIP rate,KS val,AD val,cell line new
0,PC9.DS4,0.01,0.0075,0.0025,-0.006402821248561703,-0.002742865065482371,not.assigned
1,PC9.DS4,0.011,0.008499999999999999,0.0025,-0.002487695262585131,-0.0013065420164582947,not.assigned
2,PC9.DS4,0.012,0.0095,0.0025,-0.007614537801877736,-0.0027729772830560823,not.assigned
3,PC9.DS4,0.013000000000000001,0.0105,0.0025,-0.03404116589866203,-0.019636945321254262,not.assigned
4,PC9.DS4,0.014,0.0115,0.0025,-0.024690505215278803,-0.00876500950985994,not.assigned
5,PC9.DS4,0.015,0.012499999999999999,0.0025,-0.0004176139727332187,0.00013430669654209142,not.assigned
6,PC9.DS4,0.016,0.0135,0.0025,-0.011849961390713759,-0.0051505593973255135,not.assigned
7,PC9.DS4,0.017,0.0145,0.0025,-0.00292312076513013,-0.002643493854746326,not.assigned
8,PC9.DS4,0.018000000000000002,0.015500000000000002,0.0025,-0.01584514711883609,-0.017391163495024554,not.assigned
9,PC9.DS4,0.019000000000000003,0.016500000000000004,0.0025,-0.027017367027224407,-0.023826523518011754,not.assigned
10,PC9.DS4,0.02,0.0175,0.0025,-0.014484016021916192,-0.003429710312043791,not.assigned
11,PC9.DS4,0.020999999999999998,0.0185,0.0025,-0.05895819289817683,-0.027129030025058672,not.assigned
12,PC9.DS4,0.022,0.0195,0.0025,-0.01593299252465602,-0.0006957760220149662,not.assigned
13,PC9.DS4,0.023,0.0205,0.0025,-0.0025774111340552603,-0.0063288544180452036,not.assigned
14,PC9.DS4,0.024,0.021500000000000002,0.0025,-0.01640732772697273,-0.006740875029816342,not.assigned
15,PC9.DS4,0.025,0.022500000000000003,0.0025,-0.04696728203126619,-0.015809226123577526,not.assigned
16,PC9.DS4,0.026000000000000002,0.023500000000000004,0.0025,-0.0029151997144503832,-5.6662137143853424e-05,not.assigned
17,PC9.DS4,0.027000000000000003,0.024500000000000004,0.0025,-0.0017584223063448526,-0.0013648403628762765,not.assigned
18,PC9.DS4,0.028000000000000004,0.025500000000000005,0.0025,-0.000419780090073835,0.0008504802413758381,not.assigned
19,PC9.DS4,0.028999999999999998,0.0265,0.0025,-0.0031782140243472807,0.000986892999139964,not.assigned
20,PC9.DS4,0.03,0.0275,0.0025,-0.010788776818021904,-0.0022569793548826546,not.assigned
21,PC9.DS4,0.031,0.0285,0.0025,-0.004271199747371346,0.0001218905997603908,not.assigned
22,PC9.DS4,0.032,0.029500000000000002,0.0025,-0.04261405920581212,-0.01213003231657172,not.assigned
23,PC9.DS4,0.033,0.030500000000000003,0.0025,-0.002237954086567416,0.0005727439437281829,not.assigned
24,PC9.DS4,0.034,0.0315,0.0025,0.023670628482553843,0.008327692821014726,not.assigned
25,PC9.DS4,0.035,0.0325,0.0025,-0.00047740666246085363,0.0008001628215632818,not.assigned
26,PC9.DS4,0.036000000000000004,0.0335,0.0025,0.008834829511783153,-0.0009205072559883547,not.assigned
27,PC9.DS4,0.037,0.034499999999999996,0.0025,-0.0018266570442127096,0.0008691339275369657,not.assigned
28,PC9.DS4,0.038,0.0355,0.0025,-0.0034089651738157863,-0.000163984499890918,not.assigned
29,PC9.DS4,0.039,0.0365,0.0025,-0.004641799292691337,5.985392364194018e-05,not.assigned
30,PC9.DS4,0.04,0.0375,0.0025,-6.025991743805098e-05,0.001,not.assigned
31,PC9.DS4,0.041,0.0385,0.0025,-0.005869771782166263,-0.0006129548978923579,not.assigned
32,PC9.DS4,0.042,0.0395,0.0025,-0.0004627880749807964,0.000868599871780243,not.assigned
33,PC9.DS4,0.043000000000000003,0.0405,0.0025,-0.003044728264030934,0.0008224344388948238,not.assigned
34,PC9.DS4,0.044000000000000004,0.0415,0.0025,-0.002540202479436412,0.000791415389248482,not.assigned
35,PC9.DS4,0.045000000000000005,0.0425,0.0025,-0.0030092371799701726,0.0006273128684034068,not.assigned
36,PC9.DS4,0.046000000000000006,0.043500000000000004,0.0025,-0.03183194209870392,-0.004618502949395786,not.assigned
37,PC9.DS4,0.047,0.0445,0.0025,0.007835451085890871,-0.005848982298518837,not.assigned
38,PC9.DS4,0.048,0.0455,0.0025,0.017024360668543487,-0.005256660850662599,not.assigned
39,PC9.DS4,0.049,0.0465,0.0025,-0.0022500647094223737,0.0002997197209329603,not.assigned
40,PC9.DS4,0.05,0.0475,0.0025,-0.0015823869704091817,-0.0012001517003158678,not.assigned
41,PC9.DS4,0.051000000000000004,0.0485,0.0025,0.0011560677108814477,-0.001743075323866106,not.assigned
42,PC9.DS4,0.052000000000000005,0.0495,0.0025,-0.000165990649495885,0.0009804748167580187,not.assigned
43,PC9.DS4,0.053000000000000005,0.0505,0.0025,-0.0012951411032745873,0.0008843447520283736,not.assigned
44,PC9.DS4,0.054,0.0515,0.0025,-0.002121618205525277,0.00014041366488759793,not.assigned
45,PC9.DS4,0.055,0.0525,0.0025,-8.461933734152996e-06,0.001,not.assigned
