,cell line,division rate,death rate,DIP rate,KS val,AD val,cell line new
0,PC9.DS1,0.01,0.0095,0.0005,-0.0001260687440572614,0.001,not.assigned
1,PC9.DS1,0.011,0.010499999999999999,0.0005,-6.976459615546125e-07,0.001,not.assigned
2,PC9.DS1,0.012,0.0115,0.0005,-0.0009214839793955552,0.001,not.assigned
3,PC9.DS1,0.013000000000000001,0.0125,0.0005,-0.00010298047124648929,0.001,not.assigned
4,PC9.DS1,0.014,0.0135,0.0005,-0.001272775051638182,-0.0003871281651158273,not.assigned
5,PC9.DS1,0.015,0.014499999999999999,0.0005,-0.00025703433351054487,0.001,not.assigned
6,PC9.DS1,0.016,0.0155,0.0005,-3.3081276406803967e-07,0.001,not.assigned
7,PC9.DS1,0.017,0.0165,0.0005,-0.0002515218371013903,0.001,not.assigned
8,PC9.DS1,0.018000000000000002,0.0175,0.0005,-0.00016042055305034194,0.001,not.assigned
9,PC9.DS1,0.019000000000000003,0.018500000000000003,0.0005,-0.0021411317149115762,0.0005772040267526131,not.assigned
10,PC9.DS1,0.02,0.0195,0.0005,-0.010188675621345324,-0.004921087000592604,not.assigned
11,PC9.DS1,0.020999999999999998,0.020499999999999997,0.0005,-0.0035027817567170444,0.0006723105935437373,not.assigned
12,PC9.DS1,0.022,0.0215,0.0005,-0.00012270286482933193,0.001,not.assigned
13,PC9.DS1,0.023,0.0225,0.0005,-0.0007183695235752344,0.0009687601490188879,not.assigned
14,PC9.DS1,0.024,0.0235,0.0005,-4.158288956266781e-05,0.001,not.assigned
15,PC9.DS1,0.025,0.0245,0.0005,-5.0116342585246676e-05,0.001,not.assigned
16,PC9.DS1,0.026000000000000002,0.025500000000000002,0.0005,-0.0016506915037527593,0.000935763985443318,not.assigned
17,PC9.DS1,0.027000000000000003,0.026500000000000003,0.0005,-0.0024981518753580787,0.0008131708853098777,not.assigned
18,PC9.DS1,0.028000000000000004,0.027500000000000004,0.0005,-0.00024849073212316155,0.0009059605940737934,not.assigned
19,PC9.DS1,0.028999999999999998,0.028499999999999998,0.0005,-0.0010058624247402106,0.0008863944422637315,not.assigned
20,PC9.DS1,0.03,0.0295,0.0005,-0.0002618632915131646,0.001,not.assigned
21,PC9.DS1,0.031,0.0305,0.0005,-2.97774814297287e-05,0.001,not.assigned
22,PC9.DS1,0.032,0.0315,0.0005,-0.0012228385483049418,0.001,not.assigned
23,PC9.DS1,0.033,0.0325,0.0005,-5.756433209272528e-06,0.001,not.assigned
24,PC9.DS1,0.034,0.0335,0.0005,-4.986808777355194e-05,0.001,not.assigned
