,cell line,division rate,death rate,DIP rate,KS val,AD val,cell line new
0,PC9.DS6,0.01,0.0105,-0.0005,-3.0092408509172796e-06,0.001,not.assigned
1,PC9.DS6,0.011,0.0115,-0.0005,-2.8188748848099207e-05,0.001,not.assigned
2,PC9.DS6,0.012,0.0125,-0.0005,-2.4022791886721056e-06,0.001,not.assigned
3,PC9.DS6,0.013000000000000001,0.013500000000000002,-0.0005,-0.00014890559657555378,0.0008101155946368422,not.assigned
4,PC9.DS6,0.014,0.0145,-0.0005,-4.20849733858696e-07,0.001,not.assigned
5,PC9.DS6,0.015,0.0155,-0.0005,-0.0014521333994452412,-0.0002790071651263676,not.assigned
6,PC9.DS6,0.016,0.0165,-0.0005,-1.8582608726534812e-05,0.001,not.assigned
7,PC9.DS6,0.017,0.0175,-0.0005,-0.0023419202013362445,0.0003175558109867392,not.assigned
8,PC9.DS6,0.018000000000000002,0.018500000000000003,-0.0005,-6.6012810459002135e-06,0.001,not.assigned
9,PC9.DS6,0.019000000000000003,0.019500000000000003,-0.0005,-0.00025735073425570777,0.0009526775186578144,not.assigned
10,PC9.DS6,0.02,0.0205,-0.0005,-0.0006335217388494052,0.0009004584281011907,not.assigned
11,PC9.DS6,0.020999999999999998,0.0215,-0.0005,-0.000590670187871571,0.0009687430593091383,not.assigned
12,PC9.DS6,0.022,0.0225,-0.0005,-0.0033074477879279475,-0.0005762120707932669,not.assigned
13,PC9.DS6,0.023,0.0235,-0.0005,-2.262860338316576e-06,0.001,not.assigned
14,PC9.DS6,0.024,0.0245,-0.0005,-0.0005237164862586784,0.001,not.assigned
15,PC9.DS6,0.025,0.025500000000000002,-0.0005,-2.5597529274643026e-05,0.001,not.assigned
16,PC9.DS6,0.026000000000000002,0.026500000000000003,-0.0005,-2.2940762308914527e-05,0.001,not.assigned
17,PC9.DS6,0.027000000000000003,0.027500000000000004,-0.0005,-0.0005451718508811467,0.001,not.assigned
18,PC9.DS6,0.028000000000000004,0.028500000000000004,-0.0005,-6.4099281061476475e-06,0.001,not.assigned
19,PC9.DS6,0.028999999999999998,0.0295,-0.0005,-3.436389423561128e-05,0.001,not.assigned
20,PC9.DS6,0.03,0.0305,-0.0005,-3.9822681991282276e-06,0.001,not.assigned
21,PC9.DS6,0.031,0.0315,-0.0005,-9.995891198914179e-05,0.001,not.assigned
22,PC9.DS6,0.032,0.0325,-0.0005,-1.6750712506911783e-07,0.001,not.assigned
23,PC9.DS6,0.033,0.0335,-0.0005,-4.752359483877604e-05,0.001,not.assigned
24,PC9.DS6,0.034,0.0345,-0.0005,-0.0004736690097615069,0.001,not.assigned
25,PC9.DS6,0.035,0.035500000000000004,-0.0005,-0.0002910286184530006,0.001,not.assigned
26,PC9.DS6,0.036000000000000004,0.036500000000000005,-0.0005,-0.00359900528888663,5.566057727555496e-05,not.assigned
27,PC9.DS6,0.037,0.0375,-0.0005,-9.3533735805727e-06,0.001,not.assigned
28,PC9.DS6,0.038,0.0385,-0.0005,-1.7099536885150073e-05,0.001,not.assigned
29,PC9.DS6,0.039,0.0395,-0.0005,-1.632046953830811e-05,0.001,not.assigned
30,PC9.DS6,0.04,0.0405,-0.0005,-1.659651195452105e-06,0.001,not.assigned
31,PC9.DS6,0.041,0.0415,-0.0005,-1.3406676799607898e-06,0.001,not.assigned
32,PC9.DS6,0.042,0.0425,-0.0005,-0.0004114084128402553,0.001,not.assigned
33,PC9.DS6,0.043000000000000003,0.043500000000000004,-0.0005,-0.0018139023980953501,-0.00033348863077490003,not.assigned
34,PC9.DS6,0.044000000000000004,0.044500000000000005,-0.0005,-6.795514262186524e-05,0.001,not.assigned
35,PC9.DS6,0.045000000000000005,0.045500000000000006,-0.0005,-8.18275174280155e-05,0.001,not.assigned
36,PC9.DS6,0.046000000000000006,0.04650000000000001,-0.0005,-6.770547977576897e-07,0.001,not.assigned
37,PC9.DS6,0.047,0.0475,-0.0005,-0.0002783500205594591,0.001,not.assigned
38,PC9.DS6,0.048,0.0485,-0.0005,-3.0164619689153215e-06,0.001,not.assigned
39,PC9.DS6,0.049,0.0495,-0.0005,-0.0005335649726327673,0.001,not.assigned
40,PC9.DS6,0.05,0.0505,-0.0005,-2.9383860850596795e-07,0.001,not.assigned
41,PC9.DS6,0.051000000000000004,0.051500000000000004,-0.0005,-2.994281195614889e-08,0.001,not.assigned
42,PC9.DS6,0.052000000000000005,0.052500000000000005,-0.0005,-0.0005368632206734042,0.0006296666428690826,not.assigned
43,PC9.DS6,0.053000000000000005,0.053500000000000006,-0.0005,-1.002100014819519e-05,0.001,not.assigned
44,PC9.DS6,0.054,0.0545,-0.0005,-2.4518186007270128e-05,0.001,not.assigned
45,PC9.DS6,0.055,0.0555,-0.0005,-2.1743808418266694e-05,0.001,not.assigned
46,PC9.DS6,0.056,0.0565,-0.0005,-7.312032623028419e-07,0.001,not.assigned
47,PC9.DS6,0.057,0.0575,-0.0005,-1.2095575275986378e-08,0.001,not.assigned
48,PC9.DS6,0.058,0.0585,-0.0005,-0.00018962871878527924,0.000958905550235678,not.assigned
49,PC9.DS6,0.059000000000000004,0.059500000000000004,-0.0005,-3.848369164966685e-09,0.001,not.assigned
50,PC9.DS6,0.060000000000000005,0.060500000000000005,-0.0005,-1.5498790556780663e-05,0.001,not.assigned
51,PC9.DS6,0.061000000000000006,0.061500000000000006,-0.0005,-5.557650223646614e-05,0.0009879180031954226,not.assigned
52,PC9.DS6,0.062000000000000006,0.0625,-0.0005,-2.4458444771581387e-09,0.001,not.assigned
53,PC9.DS6,0.063,0.0635,-0.0005,-1.0585879733392168e-07,0.001,not.assigned
54,PC9.DS6,0.064,0.0645,-0.0005,-5.946727298914358e-08,0.001,not.assigned
55,PC9.DS6,0.065,0.0655,-0.0005,-4.724654594937653e-08,0.001,not.assigned
56,PC9.DS6,0.066,0.0665,-0.0005,-4.006033141993905e-06,0.001,not.assigned
57,PC9.DS6,0.067,0.0675,-0.0005,-2.3829653288127904e-05,0.001,not.assigned
58,PC9.DS6,0.068,0.0685,-0.0005,-7.783207426571547e-07,0.001,not.assigned
59,PC9.DS6,0.069,0.0695,-0.0005,-0.0009996828914953086,0.0006363797308737856,not.assigned
60,PC9.DS6,0.06999999999999999,0.0705,-0.0005,-6.430518983666131e-09,0.001,not.assigned
61,PC9.DS6,0.071,0.0715,-0.0005,-1.4073501175785896e-06,0.001,not.assigned
62,PC9.DS6,0.072,0.0725,-0.0005,-0.00035715039979976706,0.001,not.assigned
63,PC9.DS6,0.073,0.0735,-0.0005,-4.130719384013237e-08,0.001,not.assigned
64,PC9.DS6,0.074,0.0745,-0.0005,-1.2308828561798061e-05,0.001,not.assigned
65,PC9.DS6,0.075,0.0755,-0.0005,-2.11134328576396e-07,0.001,not.assigned
66,PC9.DS6,0.076,0.0765,-0.0005,-1.2924193566070101e-05,0.001,not.assigned
67,PC9.DS6,0.077,0.0775,-0.0005,-3.8448825639923006e-06,0.001,not.assigned
68,PC9.DS6,0.078,0.0785,-0.0005,-5.413164143987805e-06,0.001,not.assigned
69,PC9.DS6,0.079,0.0795,-0.0005,-1.5598945914813273e-07,0.001,not.assigned
70,PC9.DS6,0.08,0.0805,-0.0005,-6.886815825797152e-07,0.001,not.assigned
71,PC9.DS6,0.01,0.0104,-0.0004,-8.873686977622922e-06,0.001,not.assigned
72,PC9.DS6,0.011,0.011399999999999999,-0.0004,-6.223110511785594e-05,0.001,not.assigned
73,PC9.DS6,0.012,0.0124,-0.0004,-0.00037477188450900747,0.000601231538360859,not.assigned
74,PC9.DS6,0.013000000000000001,0.0134,-0.0004,-0.0038524731477225372,0.0006576623197589865,not.assigned
75,PC9.DS6,0.014,0.0144,-0.0004,-0.0006092571014050076,0.0008009039975180612,not.assigned
76,PC9.DS6,0.015,0.015399999999999999,-0.0004,-4.8239042983627945e-05,0.001,not.assigned
77,PC9.DS6,0.016,0.0164,-0.0004,-0.0001664065066234308,0.001,not.assigned
78,PC9.DS6,0.017,0.017400000000000002,-0.0004,-0.0004337396520506812,0.001,not.assigned
79,PC9.DS6,0.018000000000000002,0.018400000000000003,-0.0004,-0.00010664002064078355,0.001,not.assigned
80,PC9.DS6,0.019000000000000003,0.019400000000000004,-0.0004,-0.000149275292824638,0.001,not.assigned
81,PC9.DS6,0.02,0.0204,-0.0004,-8.23541910607561e-05,0.001,not.assigned
82,PC9.DS6,0.020999999999999998,0.0214,-0.0004,-1.037637855431655e-06,0.001,not.assigned
83,PC9.DS6,0.022,0.0224,-0.0004,-3.259261015007703e-05,0.001,not.assigned
84,PC9.DS6,0.023,0.0234,-0.0004,-0.0007564211746536053,0.001,not.assigned
85,PC9.DS6,0.024,0.0244,-0.0004,-0.0003013517842001846,0.001,not.assigned
86,PC9.DS6,0.025,0.025400000000000002,-0.0004,-4.2737303557862956e-05,0.001,not.assigned
87,PC9.DS6,0.026000000000000002,0.026400000000000003,-0.0004,-0.0002338713385150917,0.001,not.assigned
88,PC9.DS6,0.027000000000000003,0.027400000000000004,-0.0004,-0.0003609935469314245,0.0008209215013189624,not.assigned
89,PC9.DS6,0.028000000000000004,0.028400000000000005,-0.0004,-0.0013315549157694923,0.0008739278383209125,not.assigned
90,PC9.DS6,0.028999999999999998,0.0294,-0.0004,-0.0002326834362999609,0.001,not.assigned
91,PC9.DS6,0.03,0.0304,-0.0004,-3.9382703986289466e-05,0.001,not.assigned
92,PC9.DS6,0.031,0.0314,-0.0004,-3.874166757731291e-06,0.001,not.assigned
93,PC9.DS6,0.032,0.0324,-0.0004,-9.926497425673535e-05,0.001,not.assigned
94,PC9.DS6,0.033,0.0334,-0.0004,-0.0002550186891984914,0.0008689134827554552,not.assigned
95,PC9.DS6,0.034,0.0344,-0.0004,-1.295901655084924e-05,0.001,not.assigned
96,PC9.DS6,0.035,0.0354,-0.0004,-0.005601606240971568,-0.00674528339337665,not.assigned
97,PC9.DS6,0.036000000000000004,0.0364,-0.0004,-0.001990964993038318,0.0008103788624688525,not.assigned
98,PC9.DS6,0.037,0.037399999999999996,-0.0004,-8.006389592017061e-05,0.001,not.assigned
99,PC9.DS6,0.038,0.0384,-0.0004,-0.0031441387540167877,0.00035826721974381874,not.assigned
100,PC9.DS6,0.039,0.0394,-0.0004,-3.0507463595006186e-05,0.001,not.assigned
101,PC9.DS6,0.04,0.0404,-0.0004,-0.000171300186254763,0.001,not.assigned
102,PC9.DS6,0.041,0.0414,-0.0004,-7.995205340161284e-07,0.001,not.assigned
103,PC9.DS6,0.042,0.0424,-0.0004,-0.00010075143931485004,0.001,not.assigned
