Population,Number
1,10453
4,17068
5,14139
6,11720
7,18528
8,13738
1_4,615
1_5,558
1_6,346
1_7,1237
1_8,387
4_5,2746
4_6,1062
4_7,2002
4_8,1377
5_6,985
5_7,1737
5_8,1228
6_7,778
6_8,723
7_8,927
1_4_5,513
1_4_6,249
1_4_7,412
1_4_8,288
1_5_6,229
1_5_7,390
1_5_8,264
1_6_7,163
1_6_8,159
1_7_8,211
4_5_6,1089
4_5_7,2124
4_5_8,1395
4_6_7,736
4_6_8,528
4_7_8,1026
5_6_7,622
5_6_8,467
5_7_8,819
6_7_8,391
1_4_5_6,489
1_4_5_7,873
1_4_5_8,591
1_4_6_7,336
1_4_6_8,253
1_4_7_8,479
1_5_6_7,296
1_5_6_8,261
1_5_7_8,380
1_6_7_8,189
4_5_6_7,2024
4_5_6_8,1749
4_5_7_8,2633
4_6_7_8,1019
5_6_7_8,765
1_4_5_6_7,2371
1_4_5_6_8,1469
1_4_5_7_8,2422
1_4_6_7_8,960
1_5_6_7_8,809
4_5_6_7_8,11292
1_4_5_6_7_8,90759
