Sample,SNPS,INDELS,Total
1,101319,18253,119415
2,122674,24054,146882
3,119007,22659,141824
4,128359,24786,152950
5,124780,23897,148489
6,113783,21374,135288
7,125882,23682,149711
8,117696,22109,139958
