Population,Number
4,17683
5,14697
6,12066
7,19765
8,14125
4_5,3259
4_6,1311
4_7,2414
4_8,1665
5_6,1214
5_7,2127
5_8,1492
6_7,941
6_8,882
7_8,1138
4_5_6,1578
4_5_7,2997
4_5_8,1986
4_6_7,1072
4_6_8,781
4_7_8,1505
5_6_7,918
5_6_8,728
5_7_8,1199
6_7_8,580
4_5_6_7,4395
4_5_6_8,3218
4_5_7_8,5055
4_6_7_8,1979
5_6_7_8,1574
4_5_6_7_8,102051
