Population,Number
4,20097
5,16824
6,13007
8,15263
4_5,6256
4_6,2383
4_8,3170
5_6,2132
5_8,2691
6_8,1462
4_5_6,5973
4_5_8,7041
4_6_8,2760
5_6_8,2302
4_5_6_8,105269
